"club","season","league","league","league","cup","cup","league cup","league cup","continental1","continental1","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"harimau muda a","2011","malaysia super league","14","2","??","0","0","0","-","-","14","2"
"harimau muda a","2012","s.league","16","4","0","0","0","0","-","-","16","4"
"harimau muda a","2014","football queensland","8","2","0","0","0","0","-","-","8","2"
"harimau muda a","total","total","38","8","0","0","0","0","0","0","38","8"
"johor darul ta'zim","2015","malaysia super league","9","0","0","0","6","0","3","0","18","0"
"johor darul ta'zim","2016","malaysia super league","10","0","2","0","??","0","6","0","18","0"
"johor darul ta'zim","2017","malaysia super league","2","0","0","0","4","1","0","0","6","1"
"johor darul ta'zim","2018","malaysia super league","0","0","0","0","0","0","0","0","0","0"
"johor darul ta'zim","total","total","21","0","2","0","10","1","9","0","42","1"
"career total","career total","career total","0","0","0","0","0","0","0","0","0","0"
