"","retailers' sales of non-medical cannabis","wholesalers' retail sales of non-medical cannabis","total retail activity","wholesalers proportion of total retail activity"
"","unadjusted dollars","unadjusted dollars","unadjusted dollars","percent"
"total","907,833","17,541","925,374","1.9"
"september 2019","121,453","904","122,357","0.7"
"august 2019","124,576","931","125,507","0.7"
"july 2019","106,065","1,095","107,160","1.0"
"june 2019","89,811","1,232","91,043","1.4"
"may 2019","82,384","1,377","83,761","1.6"
"april 2019","72,895","1,380","74,275","1.9"
"march 2019","59,350","1,391","60,741","2.3"
"february 2019","50,292","1,419","51,711","2.7"
"january 2019","53,294","1,796","55,090","3.3"
"december 2018","55,808","2,005","57,813","3.5"
"november 2018","52,322","2,409","54,731","4.4"
"october 2018","39,583","1,602","41,185","3.9"
