"visible minority group","quebec","ontario","alberta","british columbia"
"visible minority group","percentage","percentage","percentage","percentage"
"visible minority population","100.0","100.0","100.0","100.0"
"south asian","9.2","28.4","22.9","25.4"
"chinese","10.6","19.3","20.8","37.4"
"black","29.4","17.0","10.7","2.6"
"filipino","4.4","9.3","17.8","11.8"
"latin american","13.8","5.3","6.1","3.0"
"arab","17.8","4.2","5.0","1.0"
"southeast asian","7.6","4.1","6.2","4.4"
"west asian","2.6","3.5","2.3","3.2"
"korean","0.8","2.4","2.4","4.6"
"japanese","0.6","0.9","2.1","3.5"
"other visible minority","1.1","2.6","1.0","0.5"
"multiple visible minorities","2.1","2.9","2.9","2.6"
