"club","season","league","league","league","national cup","national cup","league cup","league cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"lorient b","2015-16","cfa","6","0","-","-","6","0","none","none","none","none"
"lorient b","2016-17","cfa","17","0","-","-","17","0","none","none","none","none"
"lorient b","2017-18","national 2","1","0","-","-","1","0","none","none","none","none"
"lorient b","total","total","24","0","-","-","24","0","none","none","none","none"
"lorient","2016-17","ligue 1","8","0","1","0","0","0","-","-","9","0"
"lorient","2017-18","ligue 2","18","0","1","0","2","0","-","-","21","0"
"lorient","total","total","26","0","2","0","2","0","-","-","30","0"
"arsenal","2018-19","premier league","27","0","1","0","3","0","8","1","39","1"
"career total","career total","career total","77","0","3","0","5","0","8","1","93","1"
