"","gdp at basic prices, total economy","gdp at basic prices, total economy","growth rate","culture gdp as share of total economy","sport gdp as share of total economy","gdp of culture industries as share of total economy","gdp of sport industries as share of total economy"
"","2013","2014","growth rate","culture gdp as share of total economy","sport gdp as share of total economy","gdp of culture industries as share of total economy","gdp of sport industries as share of total economy"
"","millions of dollars","millions of dollars","percent","percent","percent","percent","percent"
"canada","1,772,174","1,846,916","4.2","3.0","0.3","3.3","0.3"
"newfoundland and labrador","32,902","31,347","-4.7","1.4","0.2","1.6","0.2"
"prince edward island","5,258","5,453","3.7","2.3","0.4","3.7","0.5"
"nova scotia","35,116","35,539","1.2","2.7","0.3","3.3","0.3"
"new brunswick","29,243","29,303","0.2","2.3","0.3","2.2","0.3"
"quebec","333,166","340,773","2.3","3.5","0.3","4.3","0.3"
"ontario","646,560","673,451","4.2","3.8","0.4","4.1","0.4"
"manitoba","57,270","59,078","3.2","2.9","0.3","2.7","0.3"
"saskatchewan","79,284","78,321","-1.2","1.3","0.2","1.8","0.3"
"alberta","333,374","363,942","9.2","1.6","0.2","1.8","0.2"
"british columbia","210,146","219,430","4.4","3.0","0.4","3.3","0.4"
"yukon","2,462","2,511","2.0","2.2","0.3","2.4","0.3"
"northwest territories","4,342","4,578","5.4","1.5","0.2","1.6","0.2"
"nunavut","2,315","2,453","6.0","2.3","0.3","2.5","0.3"
