"","linked cctlp tumour cohort","tumours with one or more surgical interventions","tumours with one or more surgical interventions"
"","number","number","percentage"
"canada","52,905","16,480","31"
"newfoundland and labrador","1,350","470","35"
"prince edward island","420","70","17"
"nova scotia","2,210","775","35"
"new brunswick","1,965","490","25"
"ontario","26,135","8,085","31"
"manitoba","2,045","570","28"
"saskatchewan","2,100","515","25"
"alberta","6,835","2,325","34"
"british columbia","9,765","3,145","32"
"yukon","50","30","45"
"northwest territories","x","x","x"
"nunavut","x","x","x"
