"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"grimsby town","2006-07","league two","32","8","1","0","1","0","2","0","36","8"
"grimsby town","2007-08","league two","17","2","1","0","1","0","4","0","23","2"
"grimsby town","2008-09","league two","27","1","1","0","1","0","0","0","29","1"
"grimsby town","2009-10","league two","40","0","1","0","0","0","1","0","42","0"
"grimsby town","2010-11","conference premier","37","4","2","0","-","-","2","0","41","4"
"grimsby town","total","total","153","15","6","0","3","0","9","0","171","15"
"york city","2008-09","conference premier","4","0","0","0","-","-","0","0","4","0"
"harrogate town","2011-12","conference north","22","3","0","0","-","-","1","0","23","3"
"lincoln city","2011-12","conference premier","11","2","0","0","-","-","0","0","11","2"
"lincoln city","2012-13","conference premier","7","0","3","0","-","-","1","0","11","0"
"lincoln city","total","total","18","2","3","0","-","-","1","0","22","2"
"gateshead","2012-13","conference premier","10","0","0","0","-","-","0","0","10","0"
"boston united","2013-14","conference north","12","1","0","0","-","-","0","0","12","1"
"career total","career total","career total","219","21","9","0","3","0","11","0","242","21"
