"period","exporters' share in","exporters' share in","exporters' share in","labour productivity, exporters relative to non-exporters"
"period","number of firms","employment","shipments","labour productivity, exporters relative to non-exporters"
"","percent","percent","percent","ratio"
"1974 to 1979","24","60","68","1.02"
"1979 to 1984","24","61","70","1.00"
"1984 to 1990","29","64","74","1.44"
"1990 to 1996","34","68","81","1.63"
"1996 to 2000","35","72","84","1.31"
"2000 to 2005","39","77","82","1.10"
"2005 to 2010","39","75","79","0.86"
"1974 to 2010","35","72","79","1.13"
