"year","title","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications","album"
"year","title","den","aut","fra","ger","nld","svk","pol","swi","certifications","album"
"2007","something from nothing","7","-","-","-","-","-","-","-","den: gold","columbine"
"2008","song for sophie","16","-","-","-","-","-","-","-","den: gold","columbine"
"2008","i will love you monday","20","-","-","-","-","-","-","-","none","columbine"
"2008","stay the same","-","-","-","-","-","-","-","-","none","columbine"
"2009","only here for a moment","-","-","-","-","-","-","-","-","none","non-album single"
"2009","i will love you monday","-","2","-","1","58","14","3","2","aut: platinum ger: platinum swi: platinum","columbine"
"2010","song for sophie","-","18","-","12","-","83","-","68","none","columbine"
"2010","something from nothing","-","-","-","90","-","-","-","-","none","columbine"
"2011","geronimo","1","1","95","1","-","17","-","7","den: platinum aut: gold ger: platinum swi: gold","before the dinosaurs"
"2012","friends","6","3","-","4","-","29","1","10","den: gold aut: gold ger: gold swi: gold","before the dinosaurs"
"2012","in love with the world","5","13","-","52","-","-","-","-","den: gold","before the dinosaurs"
"2012","reconnect","-","-","-","-","-","-","-","-","none","before the dinosaurs"
"2016","love somebody","27","-","-","-","-","-","-","-","den: gold","can't steal the music"
"2016","indian giver","-","-","-","-","-","-","-","-","none","can't steal the music"
"2017","can't steal the music","-","-","-","-","-","-","-","-","none","can't steal the music"
"2017","king of pain","-","-","-","-","-","-","-","-","none","can't steal the music"
"2019","shania twain","-","-","-","-","-","-","-","-","none","tba"
""-" denotes a title that did not chart, or was not released in that territory",""-" denotes a title that did not chart, or was not released in that territory",""-" denotes a title that did not chart, or was not released in that territory",""-" denotes a title that did not chart, or was not released in that territory",""-" denotes a title that did not chart, or was not released in that territory",""-" denotes a title that did not chart, or was not released in that territory",""-" denotes a title that did not chart, or was not released in that territory",""-" denotes a title that did not chart, or was not released in that territory",""-" denotes a title that did not chart, or was not released in that territory",""-" denotes a title that did not chart, or was not released in that territory",""-" denotes a title that did not chart, or was not released in that territory",""-" denotes a title that did not chart, or was not released in that territory"
