"selected characteristics","on-road vehicle","on-road vehicle","off-road vehicle","off-road vehicle","all types of motor vehicles","all types of motor vehicles"
"selected characteristics","number","percent","number","percent","number","percent"
"compared with other drivers, would you say that you normally drive:","","","","","",""
"slower","54,176","2.9","33,731","7.4","82,214","4.4"
"about the same speed","244,938","3.3","78,317","4.1","286,860","3.8"
"faster","229,568","7.7","67,536","6.0","266,337","9.0"
"compared with other drivers, would you say that you normally drive:","","","","","",""
"less aggressively","147,652","2.9","57,819","4.6","188,945","3.7"
"with the same aggressiveness","217,313","4.0","69,772","4.7","260,120","4.8"
"more aggressively","163,619","9.2","51,622","7.1","185,877","10.4"
"how often do you fasten your seat belt when driving?","","","","","",""
"always","443,927","3.8","133,374","4.1","532,901","4.5"
"most of the time, seldom or never","86,017","13.9","46,144","16.3","103,774","16.7"
"how often do you use a cellphone (excluding hands-free) when driving?","","","","","",""
"never","211,810","2.3","64,050","3.0","256,355","2.8"
"seldom, sometimes or often","318,135","9.3","115,468","8.4","380,319","11.2"
"frequency of alcohol consumption","","","","","",""
"once a month or less,","24,252","0.4","14,156","1.1","35,020","0.6"
"once a week or less","112,406","3.6","29,947","2.9","134,833","4.3"
"more than once a week","301,383","10.5","112,561","9.8","364,156","12.6"
"daily","91,812","10.0","25,922","9.1","105,662","11.4"
"excessive alcohol consumption,","","","","","",""
"never,","41,632","0.6","f","f","52,615","0.7"
"less than once a month","143,183","4.8","34,211","3.0","174,391","5.7"
"at least once a month","172,921","11.2","70,778","9.8","213,852","13.6"
"at least once a week","170,951","20.7","64,990","16.9","196,801","23.5"
"tobacco use","","","","","",""
"never smoked","134,347","2.5","43,399","2.9","163,804","3.0"
"former smoker","217,718","4.4","69,684","4.7","265,558","5.4"
"occasional smoker","50,168","9.0","16,282","8.5","60,685","10.5"
"regular smoker","127,970","7.6","53,698","9.5","150,217","8.7"
"index of physical activity in leisure time","","","","","",""
"active","155,909","4.3","62,899","4.5","198,207","5.3"
"moderately active","154,659","4.9","50,425","4.8","178,732","5.6"
"inactive","219,773","3.9","69,738","5.3","263,464","4.6"
"daily consumption of fruits and vegetables","","","","","",""
"5 or more servings a day","115,830","2.5","37,261","2.7","138,988","3.0"
"3 or 4 servings a day","172,393","4.0","59,727","4.7","215,884","4.9"
"less than 3 servings a day","226,491","7.5","82,524","8.7","268,110","8.6"
