"season","league","league","league","league","domestic cup","domestic cup","european cup","european cup"
"season","competition","position","points","play offs","competition","performance","competition","performance"
"1971-72","none","none","none","none","john player cup","1st round","none","none"
"1972-73","none","none","none","none","john player cup","quarter final","none","none"
"1973-74","none","none","none","none","john player cup","1st round","none","none"
"1974-75","none","none","none","none","john player cup","did not qualify","none","none"
"1975-76","none","none","none","none","john player cup","1st round","none","none"
"1976-77","midlands merit","2nd","75%","none","john player cup","2nd round","none","none"
"1977-78","midlands merit","5th","62.5%","none","john player cup","finalist","none","none"
"1978-79","midlands merit","2nd","85.7%","none","john player cup","champions","none","none"
"1979-80","midlands merit","1st","85.7%","none","john player cup","champions","none","none"
"1980-81","midlands merit","1st","92.9%","none","john player cup","champions","none","none"
"1981-82","midlands merit","1st","85.7%","none","john player cup","semi final","none","none"
"1982-83","midlands merit","1st","100%","none","john player cup","finalist","none","none"
"1983-84","midlands merit","1st","100%","none","john player cup","3rd round","none","none"
"1984-85","national merit a midlands merit","6th 3rd","42.9% 85.7%","none","john player cup","quarter final","none","none"
"1985-86","national merit a","4th","70%","none","john player cup","semi final","none","none"
"1986-87","national merit a","2nd","75%","none","john player cup","semi final","none","none"
"1987-88","courage league","1st","37","none","john player cup","4th round","none","none"
"1988-89","courage league","6th","13","none","pilkington cup","finalist","none","none"
"1989-90","courage league","5th","12","none","pilkington cup","quarter final","none","none"
"1990-91","courage league","4th","16","none","pilkington cup","4th round","none","none"
"1991-92","courage league","6th","13","none","pilkington cup","semi final","none","none"
"1992-93","courage league","3rd","18","none","pilkington cup","champions","none","none"
"1993-94","courage league","2nd","28","none","pilkington cup","finalist","none","none"
"1994-95","courage league","1st","31","none","pilkington cup","semi final","none","none"
"1995-96","courage league","2nd","30","none","pilkington cup","finalist","none","none"
"1996-97","courage league","4th","29","none","pilkington cup","champions","heineken cup","finalist"
"1997-98","premiership","4th","26","none","tetley's bitter cup","5th round","heineken cup","quarter final"
"1998-99","premiership","1st","44","none","tetley's bitter cup","quarter final","did not enter","n/a"
"1999-2000","premiership","1st","51","none","tetley's bitter cup","5th round","heineken cup","group stage"
"2000-01","premiership","1st","81","champions","tetley's bitter cup","semi final","heineken cup","champions"
"2001-02","premiership","1st","83","quarter final","powergen cup","quarter final","heineken cup","champions"
"2002-03","premiership","6th","55","wildcard winner","powergen cup","semi final","heineken cup","quarter final"
"2003-04","premiership","5th","55","wildcard winner","powergen cup","6th round","heineken cup","group stage"
"2004-05","premiership","1st","78","finalist","powergen cup","6th round","heineken cup","semi final"
"2005-06","premiership","2nd","68","finalist","powergen cup","semi final","heineken cup","quarter final"
"2006-07","premiership","2nd","71","champions","edf energy cup","champions","heineken cup","finalist"
"2007-08","premiership","4th","64","finalist","edf energy cup","finalist","heineken cup","group stage"
"2008-09","premiership","1st","71","champions","edf energy cup","group stage","heineken cup","finalist"
"2009-10","premiership","1st","73","champions","lv cup","group stage","heineken cup","group stage"
"2010-11","premiership","1st","78","finalist","lv cup","group stage","heineken cup","quarter final"
"2011-12","premiership","2nd","74","finalist","lv cup","champions","heineken cup","group stage"
"2012-13","premiership","2nd","74","champions","lv cup","group stage","heineken cup","quarter final"
"2013-14","premiership","3rd","74","semi final","lv cup","group stage","heineken cup","quarter final"
"2014-15","premiership","3rd","68","semi final","lv cup","semi-final","champions cup","group stage"
"2015-16","premiership","4th","65","semi final","none","n/a","champions cup","semi final"
"2016-17","premiership","4th","66","semi final","anglo-welsh cup","champions","champions cup","group stage"
"2017-18","premiership","5th","63","did not qualify","anglo-welsh cup","group stage","champions cup","group stage"
