"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"charlton athletic","1997-98","first division","3","0","1","0","0","0","0","0","4","0"
"charlton athletic","1998-99","premier league","4","0","1","0","1","0","-","-","6","0"
"charlton athletic","1999-2000","first division","15","1","1","0","2","0","-","-","18","1"
"charlton athletic","2000-01","premier league","20","1","3","0","2","0","-","-","25","1"
"charlton athletic","2001-02","premier league","38","1","0","0","3","0","-","-","41","1"
"charlton athletic","2002-03","premier league","28","4","1","0","0","0","-","-","29","4"
"charlton athletic","2003-04","premier league","20","2","0","0","2","1","-","-","22","3"
"charlton athletic","total","total","128","9","7","0","10","1","0","0","145","10"
"norwich city","2000-01","first division","6","1","-","-","6","1","none","none","none","none"
"chelsea","2003-04","premier league","11","1","1","0","-","-","5","0","17","1"
"chelsea","2004-05","premier league","4","0","0","0","3","0","4","0","11","0"
"chelsea","total","total","15","1","1","0","3","0","9","0","28","1"
"newcastle united","2005-06","premier league","26","1","3","1","2","0","1","0","32","2"
"newcastle united","2006-07","premier league","29","3","0","0","2","1","10","0","41","4"
"newcastle united","total","total","55","4","3","1","4","1","11","0","73","6"
"west ham united","2007-08","premier league","18","1","0","0","2","0","-","-","20","1"
"west ham united","2008-09","premier league","28","1","3","0","1","0","-","-","32","1"
"west ham united","2009-10","premier league","31","2","0","0","2","0","-","-","33","2"
"west ham united","2010-11","premier league","32","5","3","0","5","2","-","-","40","7"
"west ham united","2011-12","championship","4","1","-","-","0","0","-","-","4","1"
"west ham united","total","total","113","10","6","0","10","2","-","-","129","12"
"tottenham hotspur","2011-12","premier league","29","0","5","0","0","0","0","0","34","0"
"tottenham hotspur","2012-13","premier league","21","0","2","0","0","0","6","0","29","0"
"tottenham hotspur","total","total","50","0","7","0","0","0","6","0","63","0"
"fulham","2013-14","premier league","29","2","1","0","2","0","-","-","32","2"
"fulham","2014-15","championship","37","3","2","0","2","0","-","-","41","3"
"fulham","2015-16","championship","24","1","0","0","0","0","-","-","24","1"
"fulham","2016-17","championship","29","0","1","0","1","0","0","0","31","0"
"fulham","total","total","119","6","4","0","5","0","0","0","128","6"
"career total","career total","career total","486","31","28","1","32","4","26","0","572","36"
