"contestant","week","week","week","week","week","week","week","week","week","week","week","week","week","week","week","finale"
"contestant","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","finale"
"ali","8.12%","1.40%","2.83%","3.88%","15.66%","15.66%","15.66%","15.66%","15.66%","15.66%","4.19%","3.13%","3.87%","2.01%","7.53%","9.63%"
"roger","5.51%","0.87%","2.65%","3.63%","3.13%","2.59%","2.99%","5.48%","2.90%","3.36%","3.09%","3.59%","2.48%","0.85%","6.41%","9.13%"
"kelly","4.80%","0.39%","3.50%","3.23%","0.00%","2.92%","3.43%","3.11%","2.75%","2.83%","1.94%","1.49%","3.52%","0.52%","6.81%","8.99%"
"mark","5.96%","2.61%","4.60%","5.62%","2.13%","3.91%","2.71%","6.05%","0.50%","2.99%","3.59%","1.60%","2.16%","+0.55%","6.63%","7.69%"
"jay","4.44%","1.79%","2.55%","3.73%","1.94%","1.98%","1.61%","6.56%","3.07%","3.17%","2.34%","1.44%","2.43%","+0.50%","6.32%","6.32%"
"dan","8.06%","2.81%","4.33%","0.38%","4.92%","2.79%","2.87%","4.64%","3.10%","3.65%","1.90%","3.86%","0.50%","12.12%","12.12%","12.12%"
"brittany","4.52%","0.47%","3.33%","0.99%","1.00%","5.03%","0.53%","1.60%","3.24%","2.79%","1.15%","1.16%","3.53%","3.53%","3.53%","3.53%"
"maggie","4.18%","0.87%","2.64%","1.36%","3.21%","2.37%","0.97%","2.94%","4.04%","3.16%","0.00%","8.15%","8.15%","8.15%","8.15%","8.15%"
"bernie","6.01%","1.88%","4.98%","2.82%","2.07%","5.51%","3.14%","2.31%","4.74%","2.99%","21.54%","21.54%","21.54%","21.54%","21.54%","21.54%"
"paul","4.29%","1.05%","4.95%","3.35%","+1.15%","3.46%","3.98%","2.07%","1.27%","1.27%","x","x","x","x","x","x"
"trent","6.65%","1.47%","3.24%","3.35%","2.40%","2.46%","2.24%","5.16%","5.16%","5.16%","9.06%","9.06%","9.06%","9.06%","9.06%","9.06%"
"jackie","6.10%","3.46%","3.14%","0.93%","3.74%","0.97%","10.78%","10.78%","10.78%","10.78%","13.74%","13.74%","13.74%","13.74%","13.74%","13.74%"
"jenn","4.72%","0.83%","1.67%","2.97%","2.62%","7.62%","7.62%","7.62%","7.62%","7.62%","7.77%","7.77%","7.77%","7.77%","7.77%","7.77%"
"bette-sue","6.13%","2.45%","3.35%","3.03%","5.36%","5.36%","5.36%","5.36%","5.36%","5.36%","12.26%","12.26%","12.26%","12.26%","12.26%","12.26%"
"amanda","6.86%","0.00%","2.63%","14.59%","14.59%","14.59%","14.59%","14.59%","14.59%","14.59%","11.39%","11.39%","11.39%","11.39%","11.39%","11.39%"
"neill","4.10%","1.97%","2.01%","10.27%","10.27%","10.27%","10.27%","10.27%","10.27%","10.27%","12.60%","12.60%","12.60%","12.60%","12.60%","12.60%"
"curtis","5.77%","0.84%","21.07%","21.07%","21.07%","21.07%","21.07%","21.07%","21.07%","21.07%","17.79%","17.79%","17.79%","17.79%","17.79%","17.79%"
"mallory","6.45%","+0.49%","14.22%","14.22%","14.22%","14.22%","14.22%","14.22%","14.22%","14.22%","13.14%","13.14%","13.14%","13.14%","13.14%","13.14%"
"lynn","4.65%","11.54%","11.54%","11.54%","11.54%","11.54%","11.54%","11.54%","11.54%","11.54%","4.64%","4.64%","4.64%","4.64%","4.64%","4.64%"
"jenni","2.62%","11.92%","11.92%","11.92%","11.92%","11.92%","11.92%","11.92%","11.92%","11.92%","6.99%","6.99%","6.99%","6.99%","6.99%","6.99%"
