"court outcomes of completed court cases","summary cases","summary cases","summary cases","summary cases","indictable cases","indictable cases","indictable cases","indictable cases"
"court outcomes of completed court cases","pre-2005","pre-2005","post-2005","post-2005","pre-2005","pre-2005","post-2005","post-2005"
"court outcomes of completed court cases","number","percent","number","percent","number","percent","number","percent"
"total cases, by decision","184","100","358","100","254","100","437","100"
"acquitted","3","2","4","1","0","0","3","1"
"stay of proceeding","13","7","27","8","8","3","27","6"
"withdrawn, dismissed, discharged","33","18","18","5","20","8","28","6"
"other decision","1","1","3","1","0","0","1","0"
"guilty","134","73","306","85","226","89","378","86"
"total guilty cases, by sentence and custody length","134","100","306","100","226","100","378","100"
"conditional sentence","44","33","5","2","111","52","13","4"
"probation","49","37","17","6","38","18","11","3"
"other non-custodial sentences","12","9","3","1","1","0","2","1"
"custody","27","20","262","91","62","29","315","92"
"less than 14 days","5","4","37","13","6","3","13","4"
"14 to 44 days","3","2","111","39","5","2","24","7"
"45 to 89 days","7","5","28","10","6","3","57","17"
"90 days to less than 6 months","5","4","54","19","11","5","83","24"
"6 months to less than 1 year","6","5","23","8","24","11","90","26"
"1 year to less than 2 years","0","0","6","2","4","2","29","9"
"2 years or longer","0","0","1","0","2","1","19","6"
"unknown custody length","1","1","2","1","4","2","0","0"
