"club","season","league","league","league","cup","cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"parnu kek","1988","2. liiga","12","0","none","none","-","-","12","0","none","none"
"parnu kek","1989","2. liiga","17","2","none","none","-","-","17","2","none","none"
"parnu kek","total","total","29","2","none","none","-","-","29","2","none","none"
"eesti toostus/flora","1989","korgliiga","1","0","none","none","-","-","1","0","none","none"
"sport tallinn","1989","soviet second league","4","0","none","none","-","-","4","0","none","none"
"sport tallinn","1990","baltic league","22","0","none","none","-","-","22","0","none","none"
"sport tallinn","total","total","26","0","none","none","-","-","26","0","none","none"
"parnu kalakombinaat/mek","1990","korgliiga","16","1","none","none","-","-","16","1","none","none"
"parnu kalakombinaat/mek","1991","korgliiga","23","3","none","none","-","-","23","3","none","none"
"parnu kalakombinaat/mek","total","total","39","4","none","none","-","-","39","4","none","none"
"flora","1992","meistriliiga","8","1","none","none","-","-","8","1","none","none"
"flora","1992-93","meistriliiga","18","5","none","none","-","-","18","5","none","none"
"flora","1993-94","meistriliiga","15","1","none","none","-","-","15","1","none","none"
"flora","1994-95","meistriliiga","19","3","none","none","1","0","3","0","23","3"
"flora","1995-96","meistriliiga","24","3","none","none","2","0","3","0","29","3"
"flora","1996-97","meistriliiga","4","1","none","none","2","0","-","-","6","1"
"flora","1997-98","meistriliiga","18","1","none","none","2","0","-","-","20","1"
"flora","1998","meistriliiga","5","0","none","none","1","0","0","0","6","0"
"flora","1999","meistriliiga","8","2","none","none","1","0","-","-","9","2"
"flora","total","total","119","17","none","none","9","0","6","0","134","17"
"mainz 05","1996-97","2. bundesliga","16","0","0","0","-","-","16","0","none","none"
"kuressaare","1998","esiliiga","1","0","0","0","-","-","0","0","1","0"
"strømsgodset","1999","tippeligaen","8","0","0","0","-","-","0","0","8","0"
"tulevik","2000","meistriliiga","20","6","none","none","1","0","0","0","21","6"
"start","2001","1. divisjon","29","2","3","0","-","-","32","2","none","none"
"bryne","2002","tippeligaen","26","4","3","1","-","-","29","5","none","none"
"bryne","2003","tippeligaen","25","1","3","0","-","-","28","1","none","none"
"bryne","2004","1. divisjon","30","1","5","0","-","-","35","1","none","none"
"bryne","2005","1. divisjon","29","4","4","0","-","-","33","4","none","none"
"bryne","total","total","110","10","15","1","-","-","125","11","none","none"
"levadia","2006","meistriliiga","33","5","none","none","6","0","-","-","39","5"
"levadia","2007","meistriliiga","30","6","none","none","4","0","7","0","41","6"
"levadia","2008","meistriliiga","28","4","none","none","2","0","7","1","37","5"
"levadia","total","total","91","15","none","none","12","0","14","1","111","16"
"career total","career total","career total","489","56","18","1","22","0","20","1","549","58"
