"season","club","league","league","national cup","national cup","league cup","league cup","other","other","total","total","discipline","discipline"
"season","club","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","a yellow card","a red card"
"hibernian","2003-04","5","0","0","0","0","0","-","-","5","0","0","0"
"hibernian","2004-05","20","5","4","0","2","0","-","-","26","5","0","0"
"hibernian","2005-06","34","8","4","2","2","0","1","0","40","10","2","0"
"hibernian","2006-07","31","6","5","1","5","4","3","1","44","12","5","0"
"hibernian","2007-08","32","13","2","0","1","1","-","-","35","14","4","0"
"hibernian","2008-09","34","11","1","0","1","0","2","0","38","11","4","1"
"hibernian","total","156","43","16","3","11","5","6","1","189","52","15","1"
"burnley","2009-10","35","8","1","1","2","3","-","-","38","12","1","0"
"burnley","total","35","8","1","1","2","3","0","0","38","12","1","0"
"wolverhampton wanderers","2010-11","29","10","3","1","2","1","-","-","34","12","1","0"
"wolverhampton wanderers","2011-12","32","12","2","0","0","0","-","-","34","12","2","0"
"wolverhampton wanderers","total","61","22","5","1","2","1","0","0","68","24","3","0"
"sunderland","2012-13","28","11","1","0","2","0","-","-","31","11","3","0"
"sunderland","2013-14","20","3","1","0","4","0","-","-","25","3","1","0"
"sunderland","2014-15","30","5","4","0","0","0","-","-","34","5","5","0"
"sunderland","2015-16","16","4","1","0","1","0","-","-","18","4","0","0"
"sunderland","total","94","23","7","0","7","0","0","0","108","23","9","0"
"marseille","2015-16","12","2","1","1","0","0","0","0","13","3","0","0"
"marseille","total","12","2","1","1","0","0","0","0","13","3","0","0"
"sheffield wednesday","2016-17","38","10","1","0","0","0","2","1","41","11","5","1"
"sheffield wednesday","2017-18","19","2","0","0","1","1","0","0","20","3","1","0"
"sheffield wednesday","2018-19","32","8","3","0","2","0","0","0","37","8","1","0"
"sheffield wednesday","total","89","20","4","0","3","1","2","1","98","22","7","1"
"career total","career total","447","118","31","6","23","10","8","2","514","136","35","2"
