"club","season","division","division","division","fa cup","fa cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"chelsea","1961-62","first division","3","0","0","0","0","0","-","-","3","0","none","none"
"chelsea","1962-63","second division","7","0","0","0","0","0","-","-","7","0","none","none"
"chelsea","1963-64","first division","41","2","3","0","1","0","-","-","45","2","none","none"
"chelsea","1964-65","first division","42","2","5","0","6","0","-","-","53","2","none","none"
"chelsea","1965-66","first division","36","2","6","0","0","0","10","0","-","-","52","2"
"chelsea","1966-67","first division","42","0","7","0","3","0","-","-","52","0","none","none"
"chelsea","1967-68","first division","40","0","5","0","1","0","-","-","46","0","none","none"
"chelsea","1968-69","first division","40","0","5","0","3","0","4","0","-","-","52","0"
"chelsea","1969-70","first division","30","0","8","0","3","0","-","-","41","0","none","none"
"chelsea","1970-71","first division","38","1","3","0","4","0","9","0","1","0","55","1"
"chelsea","1971-72","first division","41","0","3","0","9","0","4","1","-","-","57","1"
"chelsea","1972-73","first division","42","1","3","0","7","0","-","-","52","1","none","none"
"chelsea","1973-74","first division","36","2","2","0","1","0","-","-","39","2","none","none"
"chelsea","1974-75","first division","42","0","2","0","4","0","-","-","48","0","none","none"
"chelsea","1975-76","second division","40","0","4","0","1","0","-","-","45","0","none","none"
"chelsea","1976-77","second division","19","0","2","0","1","0","-","-","22","0","none","none"
"chelsea","1977-78","first division","37","1","4","0","1","0","-","-","42","1","none","none"
"chelsea","1978-79","first division","40","0","1","0","1","0","-","-","42","0","none","none"
"chelsea","1979-80","second division","39","2","1","0","2","0","-","-","42","2","none","none"
"chelsea","total","total","655","13","64","0","48","0","27","1","1","0","795","14"
"brentford","1980-81","third division","29","0","3","0","2","0","-","-","34","0","none","none"
"brentford","1981-82","third division","20","0","1","0","2","0","-","-","23","0","none","none"
"brentford","1982-83","third division","9","0","1","0","4","0","-","-","0","0","14","0"
"brentford","1983-84","third division","3","0","-","-","2","0","-","-","5","0","none","none"
"brentford","total","total","61","0","5","0","10","0","-","-","0","0","76","0"
"career total","career total","career total","716","13","69","0","58","0","27","1","1","0","871","14"
