"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"pknp","none","none","none","none","none","none","none","none","none","none","none","none"
"pknp","2016","malaysia fam league","20","13","-","-","-","-","-","-","20","13"
"pknp","2017","malaysia premier league","21","11","4","3","7","6","-","-","32","20"
"pknp","2018","malaysia super league","12","5","5","4","0","0","-","-","17","9"
"pknp","total","total","53","29","9","7","7","6","0","0","69","42"
"nakhon ratchasima","none","none","none","none","none","none","none","none","none","none","none","none"
"nakhon ratchasima","2018","thai league 1","10","1","0","0","2","1","-","-","12","2"
"nakhon ratchasima","total","total","10","1","0","0","2","1","-","-","12","2"
"perak","none","none","none","none","none","none","none","none","none","none","none","none"
"perak","2019","malaysia super league","1","0","0","0","0","0","-","-","1","1"
"perak","total","total","1","0","0","0","0","1","-","-","1","0"
"career total","career total","career total","64","30","9","7","9","7","0","0","82","44"
