"","2000","2007","2011","2017","change 2000 to 2017"
"","percent","percent","percent","percent","percentage points"
"men","","","","",""
"new england","87.6","84.4","77.8","83.5","-4.1"
"middle atlantic","84.7","83.4","77.3","79.7","-5.0"
"east north central","87.4","83.7","76.6","81.1","-6.3"
"west north central","88.9","86.3","81.1","85.0","-3.9"
"south atlantic","87.4","85.4","76.2","81.6","-5.9"
"south central","85.8","84.6","78.9","81.1","-4.7"
"mountain","88.9","87.6","77.7","84.7","-4.2"
"pacific","85.9","85.2","76.6","81.8","-4.1"
"all regions","86.7","84.9","77.5","81.8","-5.0"
"women","","","","",""
"new england","76.4","72.5","69.3","70.2","-6.2"
"middle atlantic","68.9","68.0","63.5","65.5","-3.4"
"east north central","73.8","70.4","65.0","67.7","-6.2"
"west north central","79.5","77.1","73.6","74.4","-5.1"
"south atlantic","73.2","70.5","65.1","66.0","-7.3"
"south central","68.6","65.1","60.7","63.4","-5.2"
"mountain","70.8","69.5","63.7","65.5","-5.3"
"pacific","67.6","65.0","60.5","63.9","-3.7"
"all regions","71.4","68.7","63.9","66.0","-5.4"
