"","canada","canada","canada","canada","united states","united states","united states","united states"
"","native-born individuals","childhood immigrants","adult immigrants","recent adult immigrants","native-born individuals","childhood immigrants","adult immigrants","recent adult immigrants"
"","percent","percent","percent","percent","percent","percent","percent","percent"
"total","46.5","47.9","46.2","44.1","34.6","37.4","49.7","56.4"
"science and technology","26.3","22.8","29.1","26.7","21.0","20.8","36.3","42.9"
"engineering","68.1","67.8","49.6","48.2","48.0","50.2","53.3","58.3"
"computer science and math","59.1","57.6","56.5","52.8","46.8","50.2","60.7","66.8"
"bachelor's degree","45.9","47.6","39.5","37.4","37.3","41.1","41.3","48.6"
"master's or professional degree","45.4","47.4","52.7","50.8","28.4","31.0","51.7","59.2"
"doctorate","58.8","55.0","61.9","58.4","42.8","40.5","70.4","76.7"
