"most serious offence","cases with a single guilty decision","cases with a single guilty decision","cases with multiple guilty decisions","cases with multiple guilty decisions","cases with no guilty decision","cases with no guilty decision","total cases","total cases"
"most serious offence","number","percent","number","percent","number","percent","number","percent"
"intimate partner violence (ipv) cases","","","","","","","",""
"common assault","38,199","49","2,389","3","37,119","48","77,707","100"
"major assault","3,935","20","5,494","29","9,815","51","19,244","100"
"uttering threats","3,832","20","6,868","35","8,698","45","19,398","100"
"criminal harassment","1,434","30","1,406","30","1,915","40","4,755","100"
"mischief","1,777","24","3,364","45","2,335","31","7,476","100"
"breach of probation","1,424","15","6,736","69","1,540","16","9,700","100"
"failure to comply with court order","4,721","24","11,060","56","3,853","20","19,634","100"
"sexual assault","183","12","332","22","998","66","1,513","100"
"other offences","3,432","17","10,982","54","5,985","29","20,399","100"
"total ipv guilty cases","58,937","33","48,631","27","72,258","40","179,826","100"
"non-intimate partner violence (non-ipv) cases","","","","","","","",""
"common assault","19,099","51","1,225","3","16,894","45","37,218","100"
"major assault","7,828","31","7,594","31","9,456","38","24,878","100"
"uttering threats","4,243","24","5,421","31","8,064","45","17,728","100"
"criminal harassment","629","29","486","22","1,061","49","2,176","100"
"mischief","1,329","29","2,007","43","1,292","28","4,628","100"
"breach of probation","796","17","3,282","69","688","14","4,766","100"
"failure to comply with court order","2,119","27","4,048","51","1,705","22","7,872","100"
"sexual assault","2,080","29","1,223","17","3,987","55","7,290","100"
"other offences","7,439","23","16,974","54","7,277","23","31,690","100"
"total non-ipv guilty cases","45,562","33","42,260","31","50,424","36","138,246","100"
"total guilty cases","104,499","33","90,891","29","122,682","39","318,072","100"
