"club","season","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"chelsea","2005-06","1","0","0","0","0","0","0","0","1","0"
"queens park rangers","2006-07","29","6","2","0","0","0","0","0","31","6"
"norwich city","2007-08","9","0","0","0","0","0","0","0","9","0"
"sheffield wednesday","2008-09","12","0","0","0","1","0","0","0","13","0"
"sheffield wednesday","total","51","6","2","0","1","0","0","0","54","6"
"leyton orient","2008-09","16","1","0","0","0","0","0","0","16","1"
"leyton orient","2009-10","40","2","1","0","2","0","1","0","44","2"
"leyton orient","2010-11","31","7","7","2","2","0","2","0","42","9"
"leyton orient","2011-12","38","6","1","1","3","0","1","0","43","7"
"leyton orient","2012-13","35","3","4","0","2","0","3","0","44","3"
"leyton orient","total","160","19","13","3","9","0","7","0","189","22"
"stevenage","2013-14","42","3","3","0","1","0","3","0","49","3"
"stevenage","total","42","3","3","0","1","0","3","0","49","3"
"crawley town","2014-15","36","1","1","0","2","0","3","0","42","1"
"crawley town","2015-16","31","1","1","0","1","0","1","0","34","1"
"crawley town","2016-17","46","7","2","0","1","0","1","0","50","7"
"crawley town","2017-18","37","10","1","0","0","0","1","0","39","10"
"crawley town","2018-19","3","1","0","0","0","0","0","0","3","1"
"crawley town","total","153","20","5","0","4","0","6","0","168","20"
"career totals","career totals","406","48","23","3","15","0","16","0","460","51"
