"","men","men","women","women","women - men","women - men","women - men","women - men"
"","percentage","bootstrap standard error","percentage","bootstrap standard error","percentage-point difference","bootstrap standard error","adjusted percentage-point difference","bootstrap standard error"
"overall","34.8","2.0","44.4","1.8","9.7","2.7","11.4","2.4"
"age","","","","","","","",""
"18 to 24","62.2","8.0","67.0","6.1","4.7","10.0","1.3","10.0"
"25 to 34","35.0","4.9","38.4","4.8","3.4","6.9","11.0","5.6"
"35 to 54","32.1","2.8","38.5","2.3","6.4","3.6","9.4","3.3"
"55 and older","33.9","4.0","58.6","3.6","24.7","5.4","20.5","4.8"
"highest level of education completed","","","","","","","",""
"no postsecondary qualifications","60.0","4.5","75.8","3.4","15.8","5.6","12.3","5.3"
"postsecondary, no degree","37.0","3.0","50.4","2.6","13.4","4.0","13.1","3.9"
"postsecondary degree","15.6","2.3","22.8","2.8","7.2","3.7","4.5","3.5"
"literacy proficiency","","","","","","","",""
"below level 3","50.6","3.5","57.8","3.2","7.2","4.7","11.6","4.4"
"level 3 or above","28.8","2.4","37.8","2.1","9.0","3.2","10.3","2.9"
"numeracy proficiency","","","","","","","",""
"below level 3","51.2","3.6","58.2","2.6","7.0","4.5","16.8","4.3"
"level 3 or above","28.9","2.3","32.5","2.3","3.6","3.3","8.8","2.7"
"immigration status","","","","","","","",""
"born in canada","33.0","2.1","44.1","1.9","11.2","2.8","12.9","2.7"
"immigrant","41.4","5.3","45.7","4.3","4.3","6.8","5.7","5.7"
"disability","","","","","","","",""
"no","35.1","2.1","43.5","1.9","8.4","2.8","10.4","2.6"
"yes","32.0","5.3","48.6","4.9","16.6","7.2","18.2","6.0"
"work hours","","","","","","","",""
"full time","33.4","2.0","39.1","1.9","5.7","2.7","10.9","2.5"
"part time","59.8","8.9","68.5","3.9","8.7","9.7","17.2","8.9"
"in a union or covered by a collective bargaining agreement","","","","","","","",""
"no","31.9","2.3","47.9","2.2","16.0","3.2","13.7","2.9"
"yes","43.3","3.7","37.4","2.7","-5.8","4.6","5.3","4.1"
"firm size","","","","","","","",""
"1 to 10","36.7","4.7","57.1","3.5","20.4","5.9","19.2","5.1"
"11 to 50","42.1","4.0","45.0","3.3","2.9","5.2","5.1","4.5"
"51 to 250","29.6","3.3","45.4","3.8","15.8","5.1","20.6","4.6"
"251 to 1,000","35.6","5.0","31.2","4.7","-4.3","6.9","0.7","5.3"
"more than 1,000","21.8","5.4","28.1","5.1","6.3","7.4","5.0","6.9"
