"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"dinamo tirana","2006-07","albanian superliga","1","0","0","0","-","-","1","0","none","none"
"dinamo tirana","2007-08","albanian superliga","0","0","0","0","-","-","1","0","none","none"
"dinamo tirana","total","total","1","0","0","0","-","-","1","0","none","none"
"belasitsa petrich","2008-09","a group","20","1","0","0","-","-","20","1","none","none"
"tirana","2009-10","albanian superliga","14","0","3","0","0","0","0","0","17","0"
"tirana","2007-08","albanian superliga","-","-","1","0","-","-","1","0","none","none"
"tirana","total","total","14","0","3","0","1","0","0","0","18","0"
"skenderbeu korce","2010-11","albanian superliga","23","0","3","0","-","-","26","0","none","none"
"skenderbeu korce","2011-12","albanian superliga","19","0","8","0","2","0","1","0","30","0"
"skenderbeu korce","2012-13","albanian superliga","24","5","7","1","2","0","1","0","34","6"
"skenderbeu korce","2013-14","albanian superliga","27","1","7","0","2","0","1","0","37","1"
"skenderbeu korce","total","total","93","6","25","1","6","0","3","0","127","7"
"kukesi","2014-15","albanian superliga","-","-","2","0","-","-","2","0","none","none"
"tractor sazi","2014-15","persian gulf pro league","10","1","0","0","0","0","-","-","10","1"
"partizani tirana","2015-16","albanian superliga","23","1","1","0","2","0","-","-","26","1"
"vllaznia shkoder","2016-17","albanian superliga","29","0","4","0","-","-","33","0","none","none"
"flamurtari vlore","2017-18","albanian superliga","25","3","5","0","-","-","30","3","none","none"
"teuta durres","2018-19","albanian superliga","0","0","0","0","-","-","0","0","none","none"
"career total","career total","career total","215","12","38","1","11","0","3","0","277","13"
