"club","season","league","league","league","cup","cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"gretna","2002-03","scottish third division","8","0","0","0","0","0","0","0","8","0"
"gretna","2003-04","scottish third division","1","0","0","0","0","0","0","0","1","0"
"gretna","2004-05","scottish third division","3","0","0","0","0","0","0","0","3","0"
"gretna","2005-06","scottish second division","0","0","1","0","0","0","0","0","1","0"
"gretna","2006-07","scottish first division","30","2","2","0","1","0","1","0","34","2"
"gretna","2007-08","scottish premier league","10","1","0","0","2","0","-","-","12","1"
"gretna","total","total","52","3","3","0","3","0","1","0","59","3"
"brechin city","2005-06","scottish first division","10","0","0","0","0","0","0","0","10","0"
"brechin city","total","total","10","0","0","0","0","0","0","0","10","0"
"dundee united","2007-08","scottish premier league","14","0","2","0","0","0","-","-","16","0"
"dundee united","2008-09","scottish premier league","9","0","2","1","1","0","-","-","12","1"
"dundee united","total","total","23","0","4","1","1","0","0","0","28","1"
"st johnstone","2009-10","scottish premier league","36","1","2","0","4","0","-","-","42","1"
"st johnstone","2010-11","scottish premier league","33","2","5","0","3","0","-","-","41","2"
"st johnstone","total","total","69","3","7","0","7","0","0","0","83","3"
"hearts","2011-12","scottish premier league","27","0","6","1","1","0","4","0","38","1"
"hearts","2012-13","scottish premier league","13","2","0","0","2","1","2","0","17","3"
"hearts","total","total","40","2","6","1","3","1","6","0","55","4"
"st mirren","2013-14","scottish premiership","13","0","1","0","1","0","-","-","15","0"
"st mirren","total","total","13","0","1","0","1","0","0","0","15","0"
"dunfermline","2013-14","scottish league one","12","2","0","0","0","0","4","0","16","2"
"dunfermline","total","total","12","2","0","0","0","0","4","0","16","2"
"carlisle","2014-15","league two","41","3","0","0","1","0","1","0","43","3"
"carlisle","2015-16","league two","36","5","4","2","3","0","1","0","44","7"
"carlisle","2016-17","league two","31","6","2","1","2","0","6","2","41","9"
"carlisle","2017-18","league two","34","8","5","1","2","1","3","0","44","10"
"carlisle","2018-19","league two","23","5","1","0","0","0","1","0","24","5"
"carlisle","total","total","165","27","12","4","8","1","12","2","197","34"
"career total","career total","career total","384","37","33","6","23","2","23","2","463","47"
