"year","team","games","games","rushing","rushing","rushing","rushing","rushing","receiving","receiving","receiving","receiving","receiving","fumbles","fumbles"
"year","team","g","gs","att","yds","avg","lng","td","rec","yds","avg","lng","td","fmb","lst"
"1995","san diego chargers","16","0","26","140","5.4","46","1","3","26","8.7","15","0","2","0"
"1996","san diego chargers","16","0","77","282","3.7","19","0","61","476","7.8","41","2","1","0"
"1997","san diego chargers","13","1","51","161","3.2","13","0","39","292","7.5","25","0","4","3"
"1998","san diego chargers","12","5","153","543","3.5","21","5","30","188","6.3","22","0","1","1"
"1999","san diego chargers","15","2","48","126","2.6","16","0","45","360","8.0","25","0","1","0"
"2000","san diego chargers","16","6","116","384","3.3","21","3","48","355","7.4","26","1","2","2"
"2001","san diego chargers","13","0","29","207","3.7","26","0","23","184","8.0","27","0","1","1"
"2002","san diego chargers","10","0","26","128","4.9","15","1","10","62","6.2","13","0","0","0"
"career","career","111","14","526","1,871","3.6","46","10","259","1,943","7.5","41","3","12","7"
