"club","season","division","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"dudingen","2009-10","1. liga","14","2","0","0","0","0","0","0","14","2"
"kriens","2009-10","swiss challenge league","7","1","0","0","0","0","0","0","7","1"
"kriens","2010-11","swiss challenge league","29","0","1","1","0","0","0","0","30","1"
"kriens","2011-12","swiss challenge league","13","3","1","0","0","0","0","0","14","3"
"kriens","total","total","49","4","2","1","0","0","0","0","51","5"
"luzern","2011-12","swiss super league","1","0","0","0","0","0","0","0","1","0"
"lugano","2012-13","swiss challenge league","20","4","0","0","0","0","0","0","20","4"
"lugano","2013-14","swiss challenge league","26","1","1","0","0","0","0","0","27","1"
"lugano","total","total","46","5","1","0","0","0","0","0","47","5"
"pandurii targu jiu","2014-15","liga i","27","3","3","0","3","0","0","0","33","3"
"dinamo bucuresti","2015-16","liga i","7","0","0","0","0","0","0","0","7","0"
"enosis neon paralimni","2015-16","cypriot first division","5","1","0","0","0","0","0","0","5","1"
"port vale","2016-17","efl league one","7","0","1","0","0","0","1","0","9","0"
"breitenrain bern","2018-19","swiss promotion league","0","0","0","0","0","0","0","0","0","0"
"career total","career total","career total","156","15","7","1","3","0","1","0","167","16"
