"","total","total","total","under-reporters","under-reporters","under-reporters","plausible reporters","plausible reporters","plausible reporters","over-reporters","over-reporters","over-reporters"
"","mean grams","95% confidence interval","95% confidence interval","mean grams","95% confidence interval","95% confidence interval","mean grams","95% confidence interval","95% confidence interval","mean grams","95% confidence interval","95% confidence interval"
"","mean grams","from","to","mean grams","from","to","mean grams","from","to","mean grams","from","to"
"aged 2 to 8 years","","","","","","","","","","","",""
"food and beverages","","","","","","","","","","","",""
"2004","104","101","108","52","46","57","95","92","99","139","130","147"
"2015","101","97","105","59","50","68","98","94","102","145","136","155"
"food alone","","","","","","","","","","","",""
"2004","53","51","56","23","19","27","48","45","50","74","68","80"
"2015","65","62","68","36","31","42","63","60","66","93","83","103"
"beverages alone","","","","","","","","","","","",""
"2004","51","49","53","29","24","34","48","45","50","65","59","71"
"2015","36","34","39","22","17","28","35","33","38","52","47","57"
"aged 9 to 18 years","","","","","","","","","","","",""
"food and beverages","","","","","","","","","","","",""
"2004","128","124","131","65","61","69","119","116","122","199","190","209"
"2015","115","111","120","70","66","75","116","113","120","204","182","226"
"food alone","","","","","","","","","","","",""
"2004","61","59","64","27","25","29","56","53","58","103","95","111"
"2015","69","67","72","41","38","45","70","67","72","125","114","137"
"beverages alone","","","","","","","","","","","",""
"2004","66","64","69","37","34","41","63","61","66","96","89","103"
"2015","46","43","49","29","26","32","47","44","50","79","58","100"
