"no","pos","name","league","league","fa cup","fa cup","league cup","league cup","johnstone paint trophy","johnstone paint trophy","total","total"
"no","pos","name","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers"
"13","gk","england lee nicholls","1+1","0","0","0","0","0","0","0","1+1","0"
"32","gk","finland jussi jaaskelainen","35","0","0","0","0","0","3","0","38","0"
"defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders"
"2","lb","england reece james","25+2","1","1","0","1","0","1","0","28+2","1"
"3","df","england andy kellett","4+5","2","0","0","0","0","3","0","7+5","2"
"5","cb","england donervon daniels","40+2","3","1","0","0","0","1+1","0","42+3","3"
"20","cb","wales craig morgan","36","2","1","0","1","0","0","0","38","2"
"21","lb","scotland kevin mcnaughton","1+1","0","0","0","1","0","0","0","2+1","0"
"22","df","england stephen warnock","11","0","0","0","0","0","0","0","11","0"
"23","lb","honduras juan carlos garcia","0","0","0","0","0","0","0","0","0","0"
"25","cb","england leon barnett","16+4","2","0","0","1","0","3","0","20+4","2"
"28","cb","england jason pearce","29+2","2","0","0","0","0","2","0","31+2","2"
"33","df","scotland jack hendry","0","0","0","0","0","0","3","0","3","0"
"34","df","england reece wabara","14+4","1","0","0","0","0","0","0","14+4","1"
"midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders"
"4","cm","england david perkins","44+1","0","1","0","1","0","1","0","47+1","0"
"6","rm","england max power","43+1","6","0+1","0","1","0","2","0","46+2","6"
"7","cm","republic of ireland chris mccann","31+7","4","1","0","0","0","1","0","32+7","4"
"8","mf","england sam morsy","13+3","1","0","0","0","0","0","0","13+3","1"
"11","lw","england sanmi odelusi","0+3","0","0","0","1","0","1","0","2+3","0"
"15","mf","england jordan flores","2+1","1","0","0","1","0","1+1","0","4+2","1"
"16","mf","england ryan jennings","0","0","0","0","0+1","0","0","0","0+1","0"
"17","rw","england michael jacobs","30+5","10","0+1","0","1","0","1","0","32+6","10"
"18","mf","england tim chow","3+8","0","0","0","0","0","1+1","0","4+9","0"
"29","mf","slovenia haris vuckic","5+10","2","1","0","0","0","0+1","0","6+11","2"
"31","mf","netherlands yanic wildschut","24+8","6","0+1","0","0","0","1+2","2","25+11","8"
"attackers","attackers","attackers","attackers","attackers","attackers","attackers","attackers","attackers","attackers","attackers","attackers","attackers"
"9","st","england will grigg","35+5","25","1","0","1","1","1","2","37+5","28"
"10","st","wales craig davies","7+19","2","1","0","0+1","0","1+1","0","9+21","2"
"24","fw","england conor mcaleny","9+4","4","0","0","0","0","0","0","9+4","4"
"27","fw","england ryan colclough","7+3","2","0","0","0","0","0","0","7+3","2"
"44","fw","england louis robles","0","0","0","0","0","0","0","0","0","0"
"left club during season","left club during season","left club during season","left club during season","left club during season","left club during season","left club during season","left club during season","left club during season","left club during season","left club during season","left club during season","left club during season"
"26","df","england jonjoe kenny","6+1","0","0","0","0","0","0","0","6+1","0"
"12","st","england shaq coulthirst","0+2","0","0","0","0","0","0","0","0+2","0"
"24","mf","republic of ireland sean murray","2+5","0","0","0","0","0","1","1","3+5","1"
"12","st","england alex revell","4+2","1","0","0","0","0","1","0","5+2","1"
"22","mf","portugal francisco junior","5+5","1","1","0","0","0","1","0","7+5","1"
"30","st","england jordy hiwula","7+7","2","0","0","0","0","2","4","9+7","6"
"42","st","england grant holt","0+4","0","0","0","0","0","0+1","0","0+5","0"
