"primary work activity","1997","1997","1997","1997","1997","2017","2017","2017","2017","2017"
"primary work activity","total","male","male","female","female","total","male","male","female","female"
"primary work activity","employed","number","%","number","%","employed","number","%","number","%"
"primary work activity, totala","518450","399100","77","119350","23","815100","527850","64.8","287250","35.2"
"research and development","210850","170150","80.7","40700","19.3","338500","237550","70.2","100950","29.8"
"basic research","69200","52950","76.5","16300","23.5","90250","61550","68.2","28750","31.8"
"applied research","100750","81350","80.8","19350","19.2","159200","107400","67.5","51800","32.5"
"development","28800","24900","86.5","3900","13.5","65550","49350","75.3","16200","24.7"
"design","12100","10950","90.4","1150","9.6","23500","19250","82.1","4200","17.9"
"managing or supervising people or projects","58550","48150","82.2","10400","17.8","119050","77550","65.1","41500","34.9"
"professional servicesb","61100","36850","60.3","24250","39.7","97450","49750","51","47700","49"
"teaching","113050","83550","73.9","29500","26.1","153450","89150","58.1","64300","41.9"
"all other primary work activitiesc","74900","60450","80.7","14500","19.3","106650","73850","69.2","32800","30.8"
