"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"crystal palace","1998-99","division one","40","5","1","0","4","0","2","0","47","5"
"crystal palace","1999-2000","division one","45","10","1","0","3","1","-","-","49","11"
"crystal palace","2000-01","division one","41","1","2","0","8","0","-","-","51","1"
"crystal palace","2001-02","division one","43","0","1","0","3","0","-","-","47","0"
"crystal palace","2002-03","division one","43","2","4","0","5","1","-","-","52","3"
"crystal palace","2003-04","division one","10","0","-","-","1","0","-","-","11","0"
"crystal palace","total","total","222","18","9","0","24","2","2","0","257","20"
"west ham united","2003-04","division one","27","0","4","1","-","-","3","0","34","1"
"west ham united","2004-05","championship","37","1","3","0","2","0","3","0","45","1"
"west ham united","2005-06","premier league","35","0","6","1","1","0","-","-","42","1"
"west ham united","2006-07","premier league","30","2","1","1","1","0","0","0","32","3"
"west ham united","2007-08","premier league","34","0","1","0","4","0","-","-","39","0"
"west ham united","2008-09","premier league","17","1","2","0","2","0","-","-","21","1"
"west ham united","total","total","180","4","17","3","10","0","6","0","213","7"
"portsmouth","2008-09","premier league","17","0","-","-","17","0","none","none","none","none"
"portsmouth","2009-10","premier league","18","0","6","0","3","0","-","-","27","0"
"portsmouth","2010-11","championship","45","2","1","0","3","0","-","-","49","2"
"portsmouth","2011-12","championship","34","1","1","0","1","0","-","-","36","1"
"portsmouth","total","total","114","3","8","0","7","0","0","0","129","3"
"reading","2011-12","championship","7","0","-","-","7","0","none","none","none","none"
"birmingham city","2012-13","championship","28","2","0","0","2","0","-","-","30","2"
"birmingham city","2013-14","championship","8","0","1","0","0","0","-","-","9","0"
"birmingham city","total","total","36","2","1","0","2","0","-","-","39","2"
"notts county","2013-14","league one","16","1","-","-","16","1","none","none","none","none"
"notts county","2014-15","league one","32","0","1","0","1","0","1","0","35","0"
"notts county","total","total","48","1","1","0","1","0","1","0","51","1"
"career total","career total","career total","607","28","36","3","44","2","9","0","696","33"
