"club","season","league","league","league","fa cup","fa cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals"
"stoke city","1925-26","second division","16","0","0","0","16","0"
"stoke city","1926-27","third division north","36","0","2","0","38","0"
"stoke city","1927-28","second division","42","0","4","0","46","0"
"stoke city","1928-29","second division","40","0","1","0","41","0"
"stoke city","1929-30","second division","40","0","1","0","41","0"
"stoke city","1930-31","second division","39","0","3","0","42","0"
"stoke city","1931-32","second division","1","0","0","0","1","0"
"stoke city","1932-33","second division","37","0","2","0","39","0"
"stoke city","1933-34","first division","31","0","2","0","33","0"
"stoke city","1934-35","first division","41","0","1","0","42","0"
"stoke city","1935-36","first division","15","0","0","0","15","0"
"stoke city","total","total","338","0","16","0","354","0"
"crewe alexandra","1938-39","third division north","3","0","0","0","3","0"
"career total","career total","career total","341","0","16","0","357","0"
