"","2010","2011","2012","2013","2014","2011","2012","2013","2014"
"","number of jobs","number of jobs","number of jobs","number of jobs","number of jobs","percentage change","percentage change","percentage change","percentage change"
"canada","97,992","100,762","100,941","104,499","101,604","2.8","0.2","3.5","-2.8"
"newfoundland and labrador","874","852","905","880","922","-2.5","6.2","-2.8","4.8"
"prince edward island","373","355","363","373","369","-4.8","2.3","2.8","-1.1"
"nova scotia","1,896","1,945","1,847","2,024","1,939","2.6","-5.0","9.6","-4.2"
"new brunswick","1,655","1,606","1,592","1,658","1,680","-3.0","-0.9","4.1","1.3"
"quebec","15,557","16,506","16,174","17,236","17,374","6.1","-2.0","6.6","0.8"
"ontario","41,335","42,404","42,830","43,879","42,394","2.6","1.0","2.4","-3.4"
"manitoba","2,712","2,856","2,856","3,185","2,825","5.3","0.0","11.5","-11.3"
"saskatchewan","2,597","2,546","2,719","2,871","2,853","-2.0","6.8","5.6","-0.6"
"alberta","10,750","11,257","11,977","11,891","11,847","4.7","6.4","-0.7","-0.4"
"british columbia","19,991","20,172","19,404","20,234","19,129","0.9","-3.8","4.3","-5.5"
"yukon","102","104","110","108","113","2.0","5.8","-1.8","4.6"
"northwest territories","78","83","90","89","91","6.4","8.4","-1.1","2.2"
"nunavut","72","75","75","70","69","4.2","0.0","-6.7","-1.4"
