"","1999","2012","change, 1999 to 2012","change, 1999 to 2012"
"","2012 constant dollars","2012 constant dollars","dollars","percentage"
"all","131,100","248,000","116,900","89.2"
"age of major income earner","","","",""
"15 to 34","34,100","42,200","8,100","23.8"
"35 to 44","141,500","218,000","76,500","54.1"
"45 to 54","253,100","402,600","149,500","59.1"
"55 to 64","349,100","539,400","190,300","54.5"
"65 and over","283,400","447,400","164,000","57.9"
"education of major income earner","","","",""
"less than high school","95,600","114,600","19,000","19.9"
"high school","118,200","190,000","71,800","60.7"
"college/trades","124,700","220,000","95,300","76.4"
"university degree","231,600","430,100","198,500","85.7"
"family structure","","","",""
"non-seniors","","","",""
"singles","26,000","36,500","10,500","40.4"
"couples without children or with children 18 and over","223,600","408,600","185,000","82.7"
"couples with children under 18","165,800","303,000","137,200","82.8"
"lone parents","30,700","47,300","16,600","54.1"
"others","171,800","304,500","132,700","77.2"
"seniors","283,400","447,400","164,000","57.9"
"immigrant status of major income earner","","","",""
"immigrated within the last 10 years","47,300","74,400","27,100","57.3"
"more than 10 years since immigration","216,400","346,300","129,900","60.0"
"canadian-born","125,400","240,900","115,500","92.1"
"region","","","",""
"atlantic","113,000","179,500","66,500","58.8"
"quebec","104,200","217,600","113,400","108.8"
"ontario","155,100","272,900","117,800","76.0"
"manitoba and saskatchewan","135,900","240,200","104,300","76.7"
"alberta","142,000","260,000","118,000","83.1"
"british columbia","144,000","316,900","172,900","120.1"
"homeownership status","","","",""
"owners with a mortgage","190,900","331,900","141,000","73.9"
"owners without a mortgage","427,400","784,800","357,400","83.6"
"non-owners","12,300","10,100","-2,200","-17.9"
"income quintile","","","",""
"bottom quintile","11,300","13,500","2,200","19.5"
"second quintile","81,500","126,200","44,700","54.8"
"middle quintile","137,700","234,800","97,100","70.5"
"fourth quintile","196,600","419,900","223,300","113.6"
"top quintile","366,300","839,000","472,700","129.0"
