"industry and r&d activity","companies (number)a","products or processes","products or processes","products","products","products","products","products","products","any processesb","any processesb"
"industry and r&d activity","companies (number)a","products or processes","products or processes","goods or services","goods or services","goods","goods","services","services","any processesb","any processesb"
"industry and r&d activity","companies (number)a","yes","no","yes","no","yes","no","yes","no","yes","no"
"all companies","1273330","15.4","84.6","9.4","90.6","5.6","94.4","7","93","11.7","88.3"
"with r&d activityc","53473","69.5","30.5","58.2","41.8","46.4","53.6","33.5","66.5","48.6","51.4"
"< $10 million","51461","69.8","30.2","58.3","41.7","46.3","53.7","33.5","66.5","49","51"
"≥ $10 million but < $50 million","1366","58.4","41.6","52.9","47.1","46.5","53.5","30.1","69.9","34.1","65.9"
"≥ $50 million but < $100 million","261","67","33","64.6","35.4","56.6","43.4","35.4","64.6","49","51"
"≥ $100 million","386","68.1","31.9","64.2","35.8","58.8","41.2","38.6","61.4","42.6","57.4"
"without r&d activity","1219857","13.1","86.9","7.2","92.8","3.8","96.2","5.9","94.1","10","90"
