"province or territory","shelters","beds","women residents","children residents"
"province or territory","number","number","number","number"
"newfoundland and labrador","16","220","65","26"
"prince edward island","6","65","15","11"
"nova scotia","17","264","94","84"
"new brunswick","25","352","97","51"
"quebec","135","1,926","846","566"
"ontario","177","4,271","1,785","1,493"
"manitoba","32","926","131","144"
"saskatchewan","29","693","219","217"
"alberta","60","1,437","482","416"
"british columbia","113","1,677","683","429"
"yukon","7","81","13","6"
"northwest territories","6","98","27","39"
"nunavut","4","48","19","11"
"canada","627","12,058","4,476","3,493"
