"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"rosario central","2014","primera division","2","0","0","0","-","-","0","0","0","0","2","0"
"rosario central","2015","primera division","1","0","0","0","-","-","0","0","1","0","none","none"
"rosario central","2016","primera division","1","0","0","0","-","-","1","0","0","0","2","0"
"rosario central","2016-17","primera division","0","0","0","0","-","-","0","0","0","0","none","none"
"rosario central","2017-18","primera division","4","0","0","0","-","-","1","0","0","0","5","0"
"rosario central","2018-19","primera division","0","0","0","0","-","-","0","0","0","0","none","none"
"rosario central","total","total","8","0","0","0","-","-","2","0","0","0","10","0"
"quilmes","2016-17","primera division","24","3","2","0","-","-","0","0","26","3","none","none"
"san martin","2018-19","primera division","2","0","0","0","-","-","0","0","2","0","none","none"
"career total","career total","career total","34","3","2","0","-","-","2","0","0","0","38","3"
