"","probability of importing","probability of importing","number of products","number of products","average value per product","average value per product"
"","column 1","column 2","column 3","column 4","column 5","column 6"
"immigrant-owned in t-1","","","","","",""
"coefficient","0.001","-0.010","0.051","-0.062","0.182","0.070"
"standard error","0.002","0.002","0.013","0.014","0.023","0.025"
"imports from the region of birth","","","","","",""
"coefficient","..","0.077","..","0.523","..","0.521"
"standard error","..","0.003","..","0.026","..","0.041"
"combined effect","","","","","",""
"coefficient","..","0.067","..","0.461","..","0.591"
"standard error","..","0.003","..","0.025","..","0.039"
"number of observations","3,385,529","3,385,529","359,288","359,288","359,288","359,288"
"r-squared","0.229","0.230","0.265","0.269","0.128","0.129"
