"","network distance","network distance","network distance","network distance","network distance","network distance"
"","input-output","input-output","input-output","benchmarked","benchmarked","benchmarked"
"","ols","poisson","gamma","ols","poisson","gamma"
"distance","","","","","",""
"coefficient","-1.025","-0.661","-0.999","-1.077","-0.686","-1.0780"
"standard error","0.0458","0.0496","0.0453","0.0576","0.0522","0.0537"
"own-province","","","","","",""
"coefficient","0.607","0.865","0.775","0.479","0.816","0.634"
"standard error","0.2230","0.0807","0.1900","0.2890","0.0827","0.2540"
"constant","","","","","",""
"coefficient","12.31","9.916","12.42","11.70","9.515","12.08"
"standard error","0.4100","0.5590","0.3730","0.6300","0.8770","0.5350"
"border effect","1.83","2.38","2.17","1.61","2.26","1.89"
"r-squared","0.954","..","..","0.959","..",".."
"number of observations","100","100","100","100","100","100"
