"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"manchester united","1982-83","first division","0","0","0","0","0","0","0","0"
"bury","1984-85","fourth division","43","3","1","0","3","0","47","3"
"bury","1985-86","third division","35","2","5","0","6","0","43","2"
"bury","1986-87","third division","42","1","1","0","7","1","50","2"
"bury","1987-88","third division","43","2","1","0","10","1","54","3"
"bury","1988-89","third division","43","0","2","0","6","0","51","0"
"bury","1989-90","third division","46","2","1","0","7","0","54","2"
"bury","1990-91","third division","12","0","1","0","2","0","15","0"
"bury","total","total","264","10","12","0","41","2","317","12"
"manchester city","1990-91","first division","8","1","0","0","1","0","9","1"
"manchester city","1991-92","first division","36","4","0","0","5","0","41","4"
"manchester city","1992-93","premier league","24","1","3","0","3","0","30","1"
"manchester city","1993-94","premier league","17","0","0","0","0","0","17","0"
"manchester city","1994-95","premier league","13","0","0","0","3","0","16","0"
"manchester city","total","total","98","6","3","0","12","0","113","6"
"port vale","1995-96","first division","35","0","6","0","6","0","47","0"
"port vale","1996-97","first division","38","1","0","0","5","0","43","1"
"port vale","1997-98","first division","27","0","2","0","2","0","31","0"
"port vale","total","total","100","1","8","0","13","0","121","1"
"career total","career total","career total","462","17","23","0","66","2","551","19"
