"province","canadians whose household has a working:","canadians whose household has a working:","canadians whose household has a working:"
"province","smoke detector","carbon monoxide detector","fire extinguisher"
"province","percent","percent","percent"
"newfoundland and labrador","99","42","84"
"prince edward island","98","42","75"
"nova scotia","97","43","71"
"new brunswick","98","35","72"
"quebec","98","34","67"
"ontario","99","80","64"
"manitoba","97","60","63"
"saskatchewan","98","66","63"
"alberta","96","65","65"
"british columbia","95","52","69"
"total","98","60","66"
