"club","season","league","league","league","national cup","national cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"sheffield united","2000-01","first division","27","0","1","0","1","0","-","-","29","0","none","none"
"sheffield united","2001-02","first division","31","2","1","0","0","0","-","-","32","2","none","none"
"sheffield united","2002-03","first division","23","0","3","0","6","1","-","-","0","0","32","1"
"sheffield united","2003-04","first division","36","3","4","0","1","0","-","-","41","3","none","none"
"sheffield united","2004-05","championship","25","1","5","0","3","0","-","-","33","1","none","none"
"sheffield united","2005-06","championship","39","1","1","0","0","0","-","-","40","1","none","none"
"sheffield united","2006-07","premier league","26","0","1","0","1","1","-","-","28","1","none","none"
"sheffield united","2007-08","championship","20","0","1","0","2","0","-","-","23","0","none","none"
"sheffield united","2008-09","championship","28","0","3","0","1","0","-","-","3","0","35","0"
"sheffield united","2009-10","championship","39","1","3","0","1","0","-","-","43","1","none","none"
"sheffield united","2010-11","championship","35","0","0","0","1","0","-","-","36","0","none","none"
"sheffield united","2011-12","league one","22","1","1","0","1","0","-","-","1","0","25","1"
"sheffield united","sheffield united total","sheffield united total","351","9","24","0","18","2","-","-","4","0","397","11"
"millwall","2011-12","championship","2","0","0","0","0","0","-","-","2","0","none","none"
"central coast mariners","2012-13","a-league","26","1","-","-","7","0","-","-","33","1","none","none"
"central coast mariners","2013-14","a-league","26","0","-","-","5","0","-","-","31","0","none","none"
"central coast mariners","2014-15","a-league","20","1","2","0","-","-","1","0","-","-","23","1"
"central coast mariners","2015-16","a-league","22","0","1","0","-","-","0","0","-","-","23","0"
"central coast mariners","2016-17","a-league","22","1","1","0","-","-","0","0","-","-","23","1"
"central coast mariners","mariners total","mariners total","116","3","4","0","-","-","13","0","-","-","135","3"
"wollongong wolves","2017","national premier leagues nsw","3","1","0","0","0","0","-","-","3","1","none","none"
"career total","career total","career total","473","12","28","0","18","2","13","0","4","0","536","14"
