"year","single","peak chart position","peak chart position","peak chart position","peak chart position","peak chart position","peak chart position","peak chart position","album","artist"
"year","single","fin","se","no","aut","ger","bel","swi","album","artist"
"2011","da da dam","6","-","-","64","46","-","-","sunday songs","paradise oskar"
"2011","sunday everyday","-","-","-","-","-","-","-","sunday songs","paradise oskar"
"2013","new way home","1","-","14","-","-","-","-","wake up world","isac elliot"
"2014","wowwowwow","4","-","-","-","-","-","-","amk dropout","kasmir"
"2015","bandana","5","-","-","-","-","-","-","sensuroimaton versio","anna abreu"
"2016","mein leben","-","-","-","12","3","-","-","ghost","raf camora"
"2016","bad ideas","-","-","-","4","7","-","79","music is my best friend","alle farben"
"2016","all or nothing","-","-","-","-","-","9","-","less is more","lost frequencies"
"2017","superman","-","-","-","-","-","-","-","non-album single","pretty pink"
"2017","james has changed","-","-","-","-","-","-","-","james","phoebe ryan"
"2018","woke up in bangkok","-","48","-","-","-","-","-","non-album single","deepend"
