"club","season","league","league","league","domestic cups","domestic cups","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"gbk","2004","kakkonen","3","0","0","0","0","0","3","0"
"gbk","total","total","3","0","0","0","0","0","3","0"
"jaro","2004","veikkausliiga","6","1","0","0","0","0","6","1"
"jaro","2005","veikkausliiga","13","2","0","0","0","0","13","2"
"jaro","total","total","19","3","0","0","0","0","19","3"
"siena","2006-07","serie a","11","0","0","0","0","0","11","0"
"siena","total","total","11","0","0","0","0","0","11","0"
"udinese","2006-07","serie a","6","0","0","0","0","0","6","0"
"udinese","2007-08","serie a","7","0","0","0","0","0","7","0"
"udinese","total","total","13","0","0","0","0","0","13","0"
"dynamo kyiv","2008-09","ukrainian premier league","19","1","0","0","7","1","26","2"
"dynamo kyiv","2009-10","ukrainian premier league","26","1","3","0","6","0","35","1"
"dynamo kyiv","2010-11","ukrainian premier league","26","3","3","0","16","1","45","4"
"dynamo kyiv","2011-12","ukrainian premier league","6","0","1","0","4","0","11","0"
"dynamo kyiv","total","total","77","5","7","0","33","2","117","7"
"rubin kazan","2011-12","russian premier league","21","2","4","1","0","0","25","3"
"rubin kazan","2012-13","russian premier league","25","6","2","0","10","0","37","6"
"rubin kazan","2013-14","russian premier league","27","3","1","0","11","5","39","8"
"rubin kazan","total","total","73","11","7","1","22","5","102","17"
"cska moscow","2014-15","russian premier league","25","13","2","0","6","0","33","13"
"cska moscow","2015-16","russian premier league","25","3","1","0","7","0","33","3"
"cska moscow","2016-17","russian premier league","9","3","1","0","2","1","10","4"
"cska moscow","total","total","59","19","4","0","15","1","77","20"
"spartak moscow","2018-19","russian premier league","4","0","1","0","2","0","7","0"
"career total","career total","career total","259","38","19","1","72","8","350","44"
