"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"sportivo las parejas","2012-13","torneo argentino b","21","4","0","0","-","-","0","0","21","4"
"chaco for ever","2013-14","torneo argentino a","31","7","2","2","-","-","0","0","33","9"
"boca unidos","2014","primera b nacional","3","0","0","0","-","-","0","0","3","0"
"boca unidos","2015","primera b nacional","37","4","1","0","-","-","0","0","38","4"
"boca unidos","total","total","40","4","1","0","-","-","0","0","41","4"
"colon","2016","argentine primera division","14","1","1","0","-","-","0","0","15","1"
"colon","2016-17","argentine primera division","23","0","1","0","-","-","0","0","24","0"
"colon","total","total","37","1","2","0","0","0","0","0","39","1"
"sud america","2017","uruguayan primera division","0","0","-","-","0","0","0","0","none","none"
"sud america","2018","segunda division","0","0","-","-","0","0","0","0","none","none"
"sud america","total","total","0","0","-","-","0","0","0","0","none","none"
"huracan","2017-18","argentine primera division","13","3","0","0","-","-","0","0","13","3"
"banfield","2018-19","argentine primera division","17","0","0","0","-","-","0","0","17","0"
"career total","career total","career total","159","19","5","2","0","0","0","0","164","21"
