"","owner","renter","renter"
"","","in social and affordable housing","not in social and affordable housing"
"","households","households","households"
"household type","","",""
"one couple household with children","30.0","12.8","16.5"
"one couple household without children","31.0","5.9","19.8"
"one lone-parent household","7.0","17.7","8.7"
"one-person household","22.0","58.0","42.0"
"other household type","10.7","6.1","13.0"
"household size","","",""
"1","22.0","58.0","42.0"
"2","38.0","16.3","32.0"
"3","14.0","9.2","10.8"
"4","15.8","7.8","8.9"
"5","10.9","9.1","6.6"
"structural type of dwelling","","",""
"single-detached house","70.0","5.7","12.9"
"semi-detached","10.7","6.4","11.6"
"row house","6.4","14.2","6.1"
"high-rise apartment","5.4","32.0","23.0"
"low-rise apartment","7.1","42.0","46.0"
"number of bedrooms","","",""
"0 or 1","4.1","51.0","33.0"
"2","18.9","26.0","42.0"
"3","42.0","17.5","18.9"
"4","35.0","4.7","6.8"
"dwelling accessibility adaptation","","",""
"accessibility adaptation - needs met","3.7","11.3","3.4"
"accessibility adaptation - needs not met","3.2","7.2","2.8"
"accessibility adaptation not required","93.1","81.4","93.8"
