"season","team","games","games","passing","passing","passing","passing","passing","passing","passing","passing","rushing","rushing","rushing","rushing","sacks","sacks","fumbles","fumbles"
"season","team","gp","gs","cmp","att","pct","yds","avg","td","int","rate","att","yds","avg","td","sck","scky","fum","lost"
"2009","tb","10","9","158","290","54.5","1,855","6.4","10","18","59.8","30","161","5.4","0","20","102","10","2"
"2010","tb","16","16","291","474","61.4","3,451","7.3","25","6","95.9","68","374","5.4","0","28","195","8","3"
"2011","tb","15","15","346","551","62.8","3,592","6.5","16","22","74.6","55","238","4.3","4","29","164","9","5"
"2012","tb","16","16","306","558","54.8","4,065","7.3","27","17","81.6","39","139","3.6","0","26","161","10","2"
"2013","tb","3","3","43","94","45.7","571","6.1","2","3","59.3","5","20","4.0","0","7","47","2","1"
"2013","min","1","1","20","53","37.7","190","3.6","0","1","40.6","0","0","0","0","1","14","0","0"
"2015","ind","1","1","15","28","53.6","149","5.3","1","1","65.9","8","24","3.0","0","1","7","0","0"
"none","total","62","61","1,179","2,048","57.6","13,873","6.8","81","68","77.6","205","946","4.6","4","112","690","39","13"
