"club","season","league","league","league","national cup","national cup","league cup","league cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"stabæk","2008","tippeligaen","0","0","2","0","-","-","2","0","none","none"
"stabæk","2009","tippeligaen","21","3","4","1","-","-","5","0","30","4"
"stabæk","2010","tippeligaen","30","4","3","2","-","-","2","0","35","6"
"stabæk","2011","tippeligaen","30","3","3","0","-","-","33","3","none","none"
"stabæk","total","total","81","10","12","3","-","-","7","0","100","13"
"kaa gent","2011-12","belgian pro league","6","0","0","0","-","-","6","0","none","none"
"rosenborg","2012","tippeligaen","11","1","0","0","-","-","7","1","18","2"
"rosenborg","2013","tippeligaen","26","2","5","1","-","-","0","0","31","3"
"rosenborg","2014","tippeligaen","22","2","2","0","-","-","5","2","29","4"
"rosenborg","total","total","59","5","7","1","none","none","12","3","78","9"
"new york city","2015","major league soccer","27","3","1","0","-","-","28","3","none","none"
"new york city","2016","major league soccer","12","1","1","0","-","-","0","0","13","1"
"new york city","total","total","39","4","2","0","0","0","0","0","41","4"
"ifk goteborg","2017","allsvenskan","29","5","1","0","-","-","30","5","none","none"
"ifk goteborg","2018","allsvenskan","12","2","4","2","-","-","16","4","none","none"
"ifk goteborg","total","total","41","7","5","2","0","0","0","0","46","9"
"ulsan hyundai","2018","k league 1","7","1","1","0","-","-","8","1","none","none"
"ulsan hyundai","total","total","7","1","1","0","0","0","0","0","8","1"
"career total","career total","career total","233","27","27","6","0","0","19","3","279","36"
