"year","team","games","games","passing","passing","passing","passing","passing","passing","passing","passing","rushing","rushing","rushing","rushing","sacked","sacked","fumbles","fumbles"
"year","team","gp","gs","comp","att","pct","yds","avg","td","int","rate","att","yds","avg","td","sck","scky","fum","lost"
"2012","den","5","0","2","4","50.0","12","3.0","0","0","56.2","8","-13","-1.6","0","0","0","0","0"
"2013","den","4","0","11","16","68.8","95","5.9","0","0","84.1","3","2","0.7","0","2","8","0","0"
"2014","den","4","0","4","10","40.0","52","5.2","1","0","90.4","8","0","0.0","0","0","0","0","0"
"2015","den","8","7","170","275","61.8","1,967","7.2","10","6","86.4","21","61","2.9","1","23","151","4","1"
"2016","hou","15","14","301","510","59.0","2,957","5.8","15","16","72.2","30","131","4.4","2","27","206","5","1"
"2017","den","6","4","96","172","55.8","1,088","6.3","5","5","72.5","14","64","4.6","1","10","64","2","1"
"2018","mia","7","5","113","178","63.5","1,247","7.0","6","4","86.0","8","21","2.6","0","17","130","1","1"
"total","total","49","30","697","1,165","59.8","7,418","6.4","37","31","78.0","92","266","2.9","4","79","559","12","4"
