"characteristics","number","%"
"total","2,730,390","100"
"age groups in 2013","",""
"0 to 17 years","413,990","15.2"
"18 to 24 years","265,860","9.7"
"25 to 34 years","547,795","20.1"
"35 to 44 years","694,750","25.5"
"45 to 64 years","640,805","23.5"
"65 years and older","167,195","6.1"
"sex","",""
"male","1,322,655","48.4"
"female","1,407,715","51.6"
"landing year","",""
"2000 to 2003","741,420","27.2"
"2004 to 2008","985,285","36.1"
"2009 to 2013","1,003,685","36.8"
"country risk level","",""
"low","713,785","26.1"
"high","2,016,605","73.9"
"who","1,585,925","58.1"
"ircc-specific","430,680","15.8"
"intended region of residence","",""
"atlantic","67,990","2.5"
"ontario","1,635,210","59.9"
"prairies","500,575","18.3"
"british columbia","526,420","19.3"
"immigrant class","",""
"economic, principal applicants","637,110","23.3"
"economic, spouse/children","974,805","35.7"
"family","764,190","28.0"
"refugee","290,605","10.6"
"other/unknown/missing","63,685","2.3"
