"fiscal year","all functions","national defense","nondefense","nondefense","nondefense","nondefense","nondefense","nondefense","nondefense","nondefense","nondefense","nondefense"
"fiscal year","all functions","national defense","total","general science, basic research","space flight, research, and related","energy","natural resources and environment","agri-culture","trans-portation","health","veterans benefits and services","othera"
"","r&d","r&d","r&d","r&d","r&d","r&d","r&d","r&d","r&d","r&d","r&d","r&d"
"2010 actual","146596","86517","60079","9280","8232","2455","2237","2043","1496","31488","1034","1814"
"2011 actual","142457","82972","59485","9483","8398","2233","2171","1916","1395","30903","1160","1826"
"2012 actual","141450","79559","61891","9304","10661","2197","2147","1920","1486","31243","1160","1773"
"2013 actual","130861","70620","60241","8802","10476","2269","2020","1753","1337","30044","1164","2376"
"2014 actual","133547","70611","62936","9482","11055","2387","2172","1967","1261","30927","1101","2584"
"2015 actual","136090","72560","63530","10068","10875","3153","2161","1989","1363","30331","1178","2412"
"2016 preliminary","146425","78362","68063","10198","12789","3436","2340","2008","1369","32182","1220","2521"
"2017 proposed","151268","79998","71270","10898","12189","4745","2470","2412","1735","32992","1252","2577"
"","r&d plant","r&d plant","r&d plant","r&d plant","r&d plant","r&d plant","r&d plant","r&d plant","r&d plant","r&d plant","r&d plant","r&d plant"
"2010 actual","2366","272","2094","1229","0","115","193","163","21","205","0","168"
"2011 actual","1922","254","1668","1098","260","32","143","-148","25","87","0","171"
"2012 actual","2287","316","1971","1232","140","34","153","85","25","168","0","134"
"2013 actual","1616","161","1455","818","0","20","149","65","22","156","0","225"
"2014 actual","2612","381","2231","1042","173","20","156","110","17","172","0","541"
"2015 actual","2454","390","2064","1020","53","20","197","160","26","164","0","424"
"2016 preliminary","2574","307","2267","1224","22","19","259","348","35","171","0","189"
"2017 proposed","2652","482","2170","1254","38","44","212","216","35","214","0","157"
