"","people who saw their friends a few times or more a week","people who saw their friends a few times or more a week","people who saw their friends a few times or more a week","people who contacted their friends a few times or more a week","people who contacted their friends a few times or more a week","people who contacted their friends a few times or more a week"
"","2003","2008","2013","2003","2008","2013"
"","percentage","percentage","percentage","percentage","percentage","percentage"
"total","56","48","44","60","58","54"
"men","58","49","44","57","55","50"
"women","53","46","43","64","61","57"
"age group","","","","","",""
"15 to 24 years","84","77","73","89","87","76"
"25 to 34 years","57","46","45","71","69","62"
"35 to 44 years","50","45","38","57","58","54"
"45 to 54 years","48","42","36","51","49","47"
"55 to 64 years","47","38","35","47","44","44"
"65 to 74 years","50","38","36","46","41","44"
"75 years and older","44","37","41","40","38","40"
"province","","","","","",""
"newfoundland and labrador","75","61","57","73","63","56"
"prince edward island","69","60","51","65","62","55"
"nova scotia","68","54","48","66","62","57"
"new brunswick","67","56","51","64","58","53"
"quebec","49","45","42","50","50","51"
"ontario","55","47","42","63","60","54"
"manitoba","59","49","44","60","59","53"
"saskatchewan","65","54","47","65","60","51"
"alberta","57","48","44","64","61","53"
"british columbia","58","48","47","65","61","58"
