"","received support for caregiving in the past 12 months","received support for caregiving in the past 12 months","received support for caregiving in the past 12 months"
"","any type of support","social support","financial support"
"","percent","percent","percent"
"relationship with primary care receiver","","",""
"spouse or partner","77","72","29"
"son or daughter","88","84","50"
"parent","72","69","18"
"sibling","72","68","23"
"grandparent","70","67","26"
"other family member","69","67","15"
"friend, neighbour, co-worker or other","53","50","13"
"age of primary care receiver","","",""
"younger than 15","89","87","58"
"15 to 24","82","72","52"
"25 to 34","68","67","26"
"35 to 44","73","70","29"
"45 to 54","73","71","29"
"55 to 64","69","63","23"
"65 to 74","67","63","20"
"75 and older","68","67","15"
"distance from primary care receiver","","",""
"same household or building","78","73","37"
"less than 10 minutes by car","67","65","15"
"10 to 29 minutes by car","63","61","11"
"30 minutes to less than 3 hours by car","68","66","12"
"3 hours or more by car","72","70","19"
"usual dwelling of primary care receiver","","",""
"private household","71","67","23"
"supportive housing","68","66","15"
"institution or care facility","73","70","18"
"frequency of in person contact with primary care receiver","","",""
"less than once a month","59","58","13"
"at least once a month","61","59","11"
"at least once a week","66","64","12"
"daily","73","70","22"
"lives with care receiver","80","75","38"
