"year","team","games","games","passing","passing","passing","passing","passing","passing","passing","rushng","rushng","rushng","rushng"
"year","team","gp","gs","comp","att","pct","yds","td","int","rtg","att","yds","avg","td"
"1984","hou","16","16","259","450","57.6","3,338","12","14","76.9","58","211","3.6","1"
"1985","hou","14","14","200","377","53.1","2,709","15","19","68.5","39","130","3.3","0"
"1986","hou","15","15","256","488","52.5","3,489","13","26","62.3","42","157","3.7","2"
"1987","hou","12","12","184","368","50.0","2,806","21","18","74.2","34","112","3.3","3"
"1988","hou","11","11","160","294","54.4","2,327","17","8","88.4","33","88","3.6","5"
"1989","hou","16","16","280","464","60.3","3,631","23","14","88.9","70","268","3.8","4"
"1990","hou","15","15","362","584","62.0","4,689","33","13","96.8","55","215","3.9","2"
"1991","hou","16","16","404","655","61.7","4,690","23","21","81.7","33","68","2.1","2"
"1992","hou","11","10","224","346","64.7","2,521","18","12","89.3","27","147","5.4","1"
"1993","hou","15","14","303","520","58.3","3,485","21","21","75.2","48","145","3.0","1"
"1994","min","15","15","371","601","61.7","4,264","18","19","79.9","27","55","2.0","0"
"1995","min","16","16","377","606","62.2","4,228","33","14","91.5","33","82","2.5","0"
"1996","min","8","8","134","247","54.3","1,610","7","9","68.7","9","6","0.7","0"
"1997","sea","15","14","313","528","59.3","3,678","25","16","83.7","17","40","2.4","1"
"1998","sea","10","10","145","258","56.2","1,632","11","8","76.6","16","10","0.6","0"
"1999","kc","1","0","1","3","33.3","20","0","0","57.6","0","0","0.0","0"
"2000","kc","2","1","15","34","44.1","208","1","1","61.9","1","2","2.0","0"
"nfl career","nfl career","208","203","3,988","6,823","58.4","49,325","291","233","80.9","543","1,736","3.2","22"
