"year","team","passing","passing","passing","passing","passing","passing","passing","rushing","rushing","rushing"
"year","team","cmp","att","pct","yds","td","int","rtg","att","yds","td"
"2010","oklahoma city","363","597","60.8","4,307","81","17","104.87","23","28","1"
"2011","utah","382","580","65.9","4,365","107","11","120.01","30","44","5"
"2012","utah","507","743","68.2","5,870","142","21","119.67","38","62","7"
"2013","utah","310","541","57.3","3,570","67","28","86.73","17","32","1"
"2014","pittsburgh","429","710","60.4","4,717","115","17","109.72","17","30","1"
"2015","jacksonville","402","598","67.2","4,684","95","12","121.96","7","17","0"
"2016","jacksonville","400","587","68.1","4,495","94","7","125.39","3","10","0"
"2018","albany","228","341","66.9","2,957","81","6","126.19","9","12","0"
"career","career","3,021","4,697","64.3","34,965","782","119","115.73","144","121","15"
