"","owner","renter","renter"
"","","in social and affordable housing","not in social and affordable housing"
"","persons","persons","persons"
"gender","","",""
"male","50.0","44.0","50.0"
"female","50.0","56.0","50.0"
"age group","","",""
"less than 35 years","39.0","46.0","51.0"
"35 to 54 years","27.0","22.0","26.0"
"55 to 64 years","15.6","12.6","9.5"
"65 years and older","18.3","19.4","13.2"
"marital status","","",""
"married","42.0","13.7","24.0"
"living common law","12.7","9.1","16.4"
"never married","37.0","54.0","47.0"
"separated/divorced/widowed","9.1","23.0","13.2"
"highest level of education","","",""
"less than high school diploma","12.8","31.0","14.7"
"high school diploma","25.0","30.0","26.0"
"post-secondary diploma or certificate","28.0","23.0","25.0"
"university degree","34.0","16.0","34.0"
"main activity in the last 12 months","","",""
"working at a paid job or self-employed","55.0","24.0","55.0"
"looking for work","1.8","5.1","3.3"
"going to school","11.1","15.8","14.6"
"keeping house","3.3","5.0","2.6"
"caring for other family members","3.6","6.9","3.7"
"retired","20.0","19.9","12.8"
"long term illness or disability","2.8","15.5","4.8"
"doing volunteer work","0.7","2.1","0.8"
"no main activity or other","1.9","5.2","2.3"
"visible minority","","",""
"visible minority","23.0","40.0","32.0"
"not a visible minority","77.0","60.0","68.0"
"indigenous identity","","",""
"indigenous","3.1","9.4","3.8"
"non-indigenous","96.9","90.6","96.2"
"veteran status","","",""
"veteran or currently a member of canadian armed forces","2.2","2.5","2.3"
"never had canadian military service","97.8","97.5","97.7"
