"hours worked","persons without disabilities","persons without disabilities","persons with disabilities","persons with disabilities","persons with disabilities","persons with disabilities"
"hours worked","persons without disabilities","persons without disabilities","milder","milder","more severe","more severe"
"hours worked","number","percent","number","percent","number","percent"
"women","","","","","",""
"part-time","1,015,900","18.8","175,390","22.8","84,610","29.1"
"full-time","4,374,820","81.2","595,500","77.2","205,840","70.9"
"more than 50 hours","249,960","4.6","35,110","4.6","13,810","4.8"
"men","","","","","",""
"part-time","457,000","7.5","80,510","10.8","54,340","25.1"
"full-time","5,625,570","92.5","665,580","89.2","162,560","74.9"
"more than 50 hours","708,890","11.7","85,470","11.5","19,110","8.8"
