"agricultural regions","first official language spoken","first official language spoken","first official language spoken","first official language spoken","first official language spoken","first official language spoken","first official language spoken","first official language spoken"
"agricultural regions","english","french","other","english","french","other","distribution of the official language minority","total"
"agricultural regions","number","number","number","percent","percent","percent","percent","total"
"newfoundland and labrador","","","","","","","",""
"agricultural region 1","905","0","0","100.0","0.0","0.0","0.0","905"
"agricultural region 2","1,075","0","0","100.0","0.0","0.0","0.0","1,080"
"agricultural region 3","580","0","0","100.0","0.0","0.0","0.0","580"
"prince edward island","","","","","","","",""
"agricultural region 1","725","0","0","100.0","0.0","0.0","0.0","720"
"agricultural region 2","1,700","0","0","100.0","0.0","0.0","0.0","1,705"
"agricultural region 3","1,590","50","0","96.7","3.0","0.0","100.0","1,645"
"nova scotia","","","","","","","",""
"agricultural region 1","1,465","105","0","93.6","6.7","0.0","67.7","1,565"
"agricultural region 2","3,680","25","0","99.3","0.7","0.0","16.1","3,705"
"agricultural region 3","1,970","25","0","98.7","1.3","0.0","16.1","1,995"
"agricultural region 4","825","0","0","98.2","0.0","0.0","0.0","840"
"agricultural region 5","495","0","0","98.0","0.0","0.0","0.0","505"
"new brunswick","","","","","","","",""
"agricultural region 1","2,700","935","0","74.3","25.7","0.0","40.7","3,635"
"agricultural region 2","2,340","55","0","97.5","2.3","0.0","2.4","2,400"
"agricultural region 3","785","335","0","70.1","29.9","0.0","14.6","1,120"
"agricultural region 4","320","975","0","24.6","75.0","0.0","42.4","1,300"
