"visible minority group","first generation","second generation","third generation or more"
"visible minority group","percentage","percentage","percentage"
"visible minority","81.9","41.8","4.5"
"south asian","82.6","56.0","13.6"
"chinese","93.0","57.7","6.7"
"black","39.6","8.9","0.4"
"filipino","90.3","16.4","2.0"
"latin american","93.4","64.9","28.5"
"arab","89.6","52.3","13.3"
"southeast asian","90.9","56.5","6.8"
"west asian","96.2","71.8","22.2"
"korean","95.2","51.8","3.7"
"japanese","93.9","40.6","3.3"
"other visible minority","22.6","6.4","0.5"
"multiple visible minorities","69.8","25.3","3.9"
"not a visible minority","59.0","16.9","1.8"
