"","2004","2004","2004","2014","2014","2014","percent change in rate 2004 to 2014","percent change in rate 2004 to 2014","percent change in rate 2004 to 2014"
"","males","females","total","males","females","total","males","females","total"
"","rate","rate","rate","rate","rate","rate","percent","percent","percent"
"total charges","2,913","669","1,775","2,252","619","1,425","-22.7","-7.5","-19.7"
"offences against the administration of justice","654","151","399","683","182","429","4.5","20.7","7.7"
"failure to comply with conditions","379","85","230","391","103","245","3.1","21.4","6.6"
"escape custody","8","1","4","3","0","2","-61.7","-57.5","-61.2"
"prisoner unlawfully at large","14","2","8","15","2","8","11.2","-11.1","8.6"
"failure to attend court","103","31","67","103","39","70","-0.8","26.3","5.6"
"breach of probation","134","27","80","155","32","93","15.8","19.4","16.5"
"other offences against the administration of law and justice","15","5","10","16","6","11","4.5","8.8","5.7"
