"industry, naics code, and company size","worldwide employmenta","worldwide employmenta","worldwide employmenta","domestic employmenta","domestic employmenta","domestic employmenta","foreign employmenta","foreign employmenta","foreign employmenta","foreign share (%)b","foreign share (%)b","foreign share (%)b"
"industry, naics code, and company size","all","r&d","non-r&d","all","r&d","non-r&d","all","r&d","non-r&d","all","r&d","non-r&d"
"all industries, 21-33, 42-81","30560","2095","28465","20046","1495","18551","10514","600","9914","34.4","28.6","34.8"
"manufacturing industries, 31-33","17661","1266","16395","10457","898","9559","7204","368","6836","40.8","29.1","41.7"
"chemicals, 325","2692","229","2463","1607","166","1441","1085","63","1022","40.3","27.5","41.5"
"pharmaceuticals and medicines, 3254","1073","155","918","622","117","505","451","38","413","42","24.5","45"
"other 325","1619","74","1545","985","49","936","634","25","609","39.2","33.8","39.4"
"machinery, 333","1637","113","1524","918","83","835","719","30","689","43.9","26.5","45.2"
"computer and electronic products, 334","2715","395","2320","1277","255","1022","1438","140","1298","53","35.4","55.9"
"semiconductor and other electronic components, 3344","1055","183","872","336","109","227","719","74","645","68.2","40.4","74"
"navigational, measuring, electromedical, control instruments, 3345","909","81","828","526","61","465","383","20","363","42.1","24.7","43.8"
"other 334","751","131","620","415","85","330","336","46","290","44.7","35.1","46.8"
"transportation equipment, 336","3111","215","2896","1854","157","1697","1257","58","1199","40.4","27","41.4"
"automobiles, trailers, and parts, 3361-63","1905","119","1786","930","83","847","975","36","939","51.2","30.3","52.6"
"aerospace products and parts, 3364","994","86","908","751","64","687","243","22","221","24.4","25.6","24.3"
"other 336","210","12","198","172","11","161","38","1","37","18.1","8.3","18.7"
"manufacturing nec, other 31-33","1775","138","1637","952","92","860","823","46","777","46.4","33.3","47.5"
"nonmanufacturing industries, 21-23, 42-81","12899","828","12071","9589","597","8992","3310","231","3079","25.7","27.9","25.5"
"information, 51","3353","406","2947","2182","277","1905","1171","129","1042","34.9","31.8","35.4"
"software publishers, 5112","1625","290","1335","714","181","533","911","109","802","56.1","37.6","60.1"
"data processing, hosting, and related services, 518","423","51","372","288","42","246","135","9","126","31.9","17.6","33.9"
"other 51","1305","65","1240","1180","54","1126","125","11","114","9.6","16.9","9.2"
"professional, scientific, and technical services, 54","1992","310","1682","1430","223","1207","562","87","475","28.2","28.1","28.2"
"computer systems design and related services, 5415","808","113","695","512","75","437","296","38","258","36.6","33.6","37.1"
"scientific r&d services, 5417","292","106","186","232","72","160","60","34","26","20.5","32.1","14"
"other 54","892","91","801","686","76","610","206","15","191","23.1","16.5","23.8"
"nonmanufacturing nec, other 21-23, 42-81","3102","29","3073","2342","27","2315","760","2","758","24.5","6.9","24.7"
"size of company","","","","","","","","","","","",""
"5-24","617","112","505","578","98","480","39","14","25","6.3","12.5","5"
"25-49","626","80","546","567","72","495","59","8","51","9.4","10","9.3"
"50-99","835","89","746","790","81","709","45","8","37","5.4","9","5"
"100-249","1219","128","1091","986","112","874","233","16","217","19.1","12.5","19.9"
"250-499","1030","97","933","842","79","763","188","18","170","18.3","18.6","18.2"
"500-999","1043","85","958","762","68","694","281","17","264","26.9","20","27.6"
"1,000-4,999","4188","364","3824","2537","240","2297","1651","124","1527","39.4","34.1","39.9"
"5,000-9,999","3331","254","3077","1599","141","1458","1732","113","1619","52","44.5","52.6"
"10,000-24,999","4613","269","4344","2903","201","2702","1710","68","1642","37.1","25.3","37.8"
"25,000 or more","13059","618","12441","8482","403","8079","4577","215","4362","35","34.8","35.1"
