"none","soviet union","soviet union","czechoslovakia","czechoslovakia","czechoslovakia","poland","poland","poland","east germany","east germany"
"none","5400","7400","5400","7400","8400","5400","6400","7400","7400","8400"
"74","133","к155","mh54","mh74","mh84","uca54","uca64","ucy74","d1","e1"
"74l","134","кр134","none","none","none","none","none","none","none","none"
"74h","130","к131","none","none","none","none","uca64h","ucy74h","d2","e2"
"74s","530","кр531","mh54s","mh74s","mh84s","none","none","ucy74s","ds","none"
"74ls","533","к555","none","none","none","none","none","ucy74ls","dl","none"
"74as","1530","кр1530","none","none","none","none","none","none","none","none"
"74als","1533","кр1533","mh54als","mh74als","none","none","none","none","none","none"
"74f","1531","кр1531","none","none","none","none","none","none","none","none"
"74hc","1564","кр1564","none","none","none","none","none","none","none","none"
"74hct","none","none","none","none","none","none","none","none","u74hct","none"
"74ac","1554","кр1554","none","none","none","none","none","none","none","none"
"74act","1594","кр1594","none","none","none","none","none","none","none","none"
"74lvc","5574","none","none","none","none","none","none","none","none","none"
"74vhc","5584","none","none","none","none","none","none","none","none","none"
