"industrial sector","1998","2018"
"industrial sector","percent","percent"
"healthcare and social assistance","8.2","8.7"
"educational services","6.6","8.5"
"information, culture and recreation","5.5","8.5"
"agriculture","7.9","7.3"
"accommodation and food services","6.1","6.8"
"other services","5.0","5.9"
"business, building and other support services","5.6","5.6"
"professional, scientific and technical services","4.6","5.6"
"public administration","4.8","5.1"
"wholesale and retail trade","5.0","5.0"
"finance, insurance, real estate, rental and leasing","3.7","4.5"
"transportation and warehousing","4.3","4.2"
"construction","3.1","3.4"
"manufacturing","2.8","3.1"
"forestry, fishing, mining, quarrying, oil and gas","3.2","2.9"
