"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"san martin","2009-10","primera b nacional","5","0","0","0","-","-","0","0","5","0"
"san martin","2010-11","primera b nacional","4","0","0","0","-","-","0","0","4","0"
"san martin","2011-12","torneo argentino a","20","0","0","0","-","-","0","0","20","0"
"san martin","2012-13","torneo argentino a","10","2","1","0","-","-","2","0","13","2"
"san martin","total","total","39","2","1","0","-","-","2","0","42","2"
"san jorge","2013-14","torneo argentino a","22","3","1","1","-","-","0","0","23","4"
"san martin","2014","torneo federal a","11","0","3","1","-","-","0","0","14","1"
"san martin","2015","torneo federal a","26","4","1","0","-","-","4","1","31","5"
"san martin","2016","torneo federal a","12","1","0","0","-","-","7","3","19","4"
"san martin","2016-17","primera b nacional","33","6","0","0","-","-","0","0","33","6"
"san martin","2017-18","primera b nacional","22","4","0","0","-","-","5","1","27","5"
"san martin","2018-19","primera division","6","0","1","0","-","-","0","0","7","0"
"san martin","total","total","110","15","5","1","-","-","16","5","131","21"
"career total","career total","career total","171","20","6","2","-","-","18","5","195","27"
